object_number,edition_id
10551,ED-BA5E0DB11A
10588,ED-E769C0C40A
10633,ED-94D4227B68
10651,ED-5D3B0D231D
10659,ED-F5BEE267CA
10735,ED-C0327142EC
10816,ED-052617CF61
10817,ED-FDF9A8660F
10818,ED-0B11F9C7AB
10819,ED-622FB27AE2
10821,ED-D49A427D21
10823,ED-DA38451B09
10827,ED-5C23D67B50
10831,ED-0D689BBE56
10834,ED-DED08A881D
10838,ED-6D7D7EFF14
10890,ED-13DFC6189D
10893,ED-C562FCA542
10903,ED-27D563884B
10907,ED-C55D06E4C2
10914,ED-33793C3D5F
10919,ED-65F5DDC788
10975,ED-3D8FF03A3D
10977,ED-707C5166C0
10981,ED-F8E6B83A92
10987,ED-8711098152
10992,ED-F33A82749F
10995,ED-64599FD6AE
10997,ED-692615CCA0
10998,ED-42980EC5C3
11001,ED-4464E0D5C3
11003,ED-9C72E66F94
11004,ED-C217024DB5
11006,ED-BA9A93FE37
19321,ED-6A51B4DB8F
19335,ED-05CFED14E1
19338,ED-456B90B191
19343,ED-18989EDAED
19345,ED-0976DC63C3
19350,ED-CC1A36DE6A
19353,ED-2435086A38
19355,ED-0B394E413C
19359,ED-054443844B
19361,ED-266B0FE77C
19362,ED-AB90FC734D
19394,ED-650A7D1531
19398,ED-8F9DD9BADD
19399,ED-49CE6A7367
19400,ED-21A7899A39
19401,ED-C0F521CCE7
19404,ED-6ED4FB1BE4
19410,ED-0973F2F9AE
19413,ED-08E6267673
19417,ED-CE102840C0
19419,ED-BB3A07A9D3
19431,ED-160D8C4D43
19435,ED-B9857612F2
19439,ED-CF79ADE2BF
19441,ED-78A6CDBE1E
19442,ED-62E26EB155
19443,ED-714E6CCC05
19444,ED-63E1C5A458
19445,ED-9366458845
19447,ED-E23166D8AB
19488,ED-064714E8FD
19489,ED-E37D094FFC
19491,ED-728F3F91FD
19492,ED-A228F99BDA
19493,ED-D6FDC6B9CE
19494,ED-4BB5946393
19495,ED-A82EFFE960
19496,ED-08EECFD198
19497,ED-8103199062
19498,ED-A7B4493AD7
19501,ED-3E836AFF6E
19502,ED-689CC9DBF1
19509,ED-C283C39C91
19513,ED-A42AF7A8AC
19515,ED-52B79BBCF3
19516,ED-55B938E2FE
19518,ED-7910EF78D6
19520,ED-D93B02EE88
19521,ED-E2A1B6451F
19523,ED-ADED09DF60
19554,ED-E6ACF324B4
19557,ED-5D0C194C13
19561,ED-4A3676F49A
19562,ED-13B95B4512
19563,ED-6A6B54C245
19564,ED-B98EE350F8
19587,ED-A3C1359CBE
19590,ED-F59E1A4C77
19592,ED-716DF91691
19595,ED-2D75157646
19852,ED-98F51BB09C
19966,ED-D4DE961A91
19968,ED-6E9F280272
19970,ED-ED0AC68A8B
19971,ED-DED08A881D
19973,ED-F99D93B73D
19974,ED-7045A8EF97
19977,ED-33AE410378
19981,ED-25FCB4B0E0
19983,ED-E0F432E5BB
19986,ED-2B346FA20B
19989,ED-22BD95DF15
19992,ED-480B362A41
19996,ED-FB70E5E8A3
20000,ED-E7DD853280
20005,ED-5656C1CFB4
20007,ED-5CD2E16370
20011,ED-4F6AD7518E
20020,ED-BA3158E7A4
20021,ED-C83D398932
20022,ED-7D5B938B10
20023,ED-DF002B2352
20048,ED-DDC753BFB3
20049,ED-7523AC6717
20050,ED-4CA7DE0E01
20051,ED-8DFDF0B50D
20052,ED-C17A4F8F7F
20053,ED-BE512BBBC5
20055,ED-99D45C4631
20056,ED-299C0BA4BD
20059,ED-BCB022383B
20063,ED-57444B662B
20094,ED-E8BD77D858
20095,ED-97EAF58718
20109,ED-F13D23FB21
20111,ED-AFEA19DD2B
20113,ED-6D7D7EFF14
20114,ED-6D878C9B36
20118,ED-052617CF61
20120,ED-E0958387A3
20145,ED-EA07E14B6B
20154,ED-FF18192EF0
20155,ED-02EF0AF9EA
20156,ED-4AADB029F1
20157,ED-F4F1A0A3B3
20158,ED-3167413996
20159,ED-6FEE729E73
20160,ED-9490F743FD
20163,ED-A76BB1D099
20166,ED-5F9A7CA49F
20171,ED-C90ABDD093
20175,ED-6FC11A3CB8
20178,ED-05F28891A6
20183,ED-38CE7F15D5
20184,ED-4FCD61E498
20185,ED-F35469B922
20187,ED-1636D25BF4
20188,ED-ED05FAD6BF
20189,ED-C32D5D669B
20190,ED-066B6EF0CB
20191,ED-16E09A1C25
20203,ED-632F5E54CF
20204,ED-DDD7E51D11
20205,ED-0FC752CA16
20208,ED-45A020D0ED
20209,ED-928D7DD90F
20212,ED-A1616818A8
20217,ED-6F4186A91F
20218,ED-707C5166C0
20219,ED-E13460C41B
20221,ED-A0A18E659B
20226,ED-1D99CF5161
20229,ED-82FDEF08F5
20231,ED-E00D3348F9
20236,ED-8A9352D289
20237,ED-D52BB675E4
20238,ED-6812DD8F2F
20241,ED-8D5FB133BF
20242,ED-86E2B312D1
20246,ED-FD1EEF8CEE
20280,ED-9885A3351B
20281,ED-8C5B3E110C
20282,ED-33EE88F60C
20283,ED-564A9D47D6
20284,ED-624F06451C
20285,ED-ADFBC1E15C
20287,ED-C55104D616
20288,ED-382E2CF566
20289,ED-10CA1FCFAB
20290,ED-C669AFD3DC
20359,ED-7B136DAD8D
20363,ED-915930B1F6
20371,ED-227B81D68D
20375,ED-FAA6AC52AC
20384,ED-621916372B
20391,ED-CF6201D402
20397,ED-78DDDF4696
20403,ED-12BD0C1F1D
20405,ED-A3AE975B64
20521,ED-74C0623979
20523,ED-DEACC733C7
20525,ED-F4D0ED6CC3
20528,ED-360A319C17
20532,ED-A6C3388E23
20535,ED-AF33E1C75A
20541,ED-6211024694
20544,ED-2830948A9D
20547,ED-7827C0E5EC
20548,ED-6639C6F9AB
20563,ED-8889DF244C
20564,ED-C2389A2F13
20566,ED-0A454D3C37
20567,ED-8E234C877A
20568,ED-1BBF4EBAD9
20569,ED-CF7A2374CA
