"edition_id","title_primary","platform"
"CAT-19772","Super Tennis","Nintendo Super Nintendo Entertainment System"
"CAT-19779","Theme Park","Nintendo Super Nintendo Entertainment System"
"CAT-19786","King Arthur's World","Nintendo Super Nintendo Entertainment System"
"CAT-19787","Stunt Race FX","Nintendo Super Nintendo Entertainment System"
"CAT-19796","Doom","Nintendo Super Nintendo Entertainment System"
"CAT-19799","Super Star Wars Return of the Jedi","Nintendo Super Nintendo Entertainment System"
"CAT-19812","Super Punch-Out!!","Nintendo Super Nintendo Entertainment System"
"CAT-19814","Street Fighter Alpha 2","Nintendo Super Nintendo Entertainment System"
"CAT-19819","Jurassic Park","Nintendo Super Nintendo Entertainment System"
"CAT-19824","Cliffhanger","Nintendo Super Nintendo Entertainment System"
"CAT-19834","World Cup USA 94","Nintendo Super Nintendo Entertainment System"
"CAT-19846","Disney's Timon & Pumbaa's Jungle Games","Nintendo Super Nintendo Entertainment System"
"CAT-19856","Lamborghini American Challenge","Nintendo Super Nintendo Entertainment System"
"CAT-19861","Lemmings 2 The Tribes","Nintendo Super Nintendo Entertainment System"
"CAT-19864","Super Battletank 2","Nintendo Super Nintendo Entertainment System"
"CAT-19868","Disney's The Jungle Book","Nintendo Super Nintendo Entertainment System"
"CAT-19869","Tetris & Dr Mario","Nintendo Super Nintendo Entertainment System"
"CAT-19870","Jimmy Connors Pro Tennis Tour","Nintendo Super Nintendo Entertainment System"
"CAT-19872","Equinox","Nintendo Super Nintendo Entertainment System"
"CAT-19875","Kirby's Dream Course","Nintendo Super Nintendo Entertainment System"
"CAT-19876","WWF Super Wrestlemania","Nintendo Super Nintendo Entertainment System"
"CAT-19887","Lucky Luke","Nintendo Super Nintendo Entertainment System"
"CAT-19888","Pilotwings","Nintendo Super Nintendo Entertainment System"
"CAT-19890","Eek! the Cat","Nintendo Super Nintendo Entertainment System"
"CAT-19903","Stargate","Nintendo Super Nintendo Entertainment System"
"CAT-19917","Donkey Kong Country 2 Diddy's Kong Quest","Nintendo Super Nintendo Entertainment System"
"CAT-19922","Disney's Beauty and the Beast","Nintendo Super Nintendo Entertainment System"
"CAT-19924","Super Bomberman","Nintendo Super Nintendo Entertainment System"
"CAT-19925","Disney's Aladdin","Nintendo Super Nintendo Entertainment System"
"CAT-19928","F1 Pole Position 2","Nintendo Super Nintendo Entertainment System"
"CAT-19929","Lagoon","Nintendo Super Nintendo Entertainment System"
"CAT-19932","Super Ghouls 'n Ghosts","Nintendo Super Nintendo Entertainment System"
"CAT-19983","Solid Runner;ソリッドランナー","Nintendo Super Famicom"
"CAT-19989","First Samurai;ファーストサムライ","Nintendo Super Famicom"
"CAT-20189","Ashita no Joe;あしたのジョー","Nintendo Super Famicom"
"CAT-20191","Light Fantasy;ライトファンタジー","Nintendo Super Famicom"
"CAT-20281","SimCity ;シムシティ","Nintendo Super Famicom"
"CAT-20309","NBA Live 97","Nintendo Super Nintendo Entertainment System"
"CAT-20313","FIFA Road to World Cup 98","Nintendo Super Nintendo Entertainment System"
"CAT-20317","NHLPA Hockey '93","Nintendo Super Nintendo Entertainment System"
"CAT-20321","NHL 95","Nintendo Super Nintendo Entertainment System"
"CAT-20325","Young Merlin","Nintendo Super Nintendo Entertainment System"
"CAT-20327","Skyblazer","Nintendo Super Nintendo Entertainment System"
"CAT-20329","Rise of the Robots","Nintendo Super Nintendo Entertainment System"
"CAT-20334","The Adventures of Mighty Max","Nintendo Super Nintendo Entertainment System"
"CAT-20352","Tetris Attack","Nintendo Super Nintendo Entertainment System"
"CAT-20357","Tiny Toon Adventures Buster Busts Loose!","Nintendo Super Nintendo Entertainment System"
"CAT-20362","Indiana Jones' Greatest Adventures","Nintendo Super Nintendo Entertainment System"
"CAT-20364","Super Putty","Nintendo Super Nintendo Entertainment System"
"CAT-20371","Accele Brid;アクセルブリッド","Nintendo Super Famicom"
"CAT-20377","Super Mario World 2 Yoshi's Island","Nintendo Super Nintendo Entertainment System"
"CAT-20386","International Superstar Soccer","Nintendo Super Nintendo Entertainment System"
"CAT-20388","Soul Blazer","Nintendo Super Nintendo Entertainment System"
"CAT-20390","Mega Man X","Nintendo Super Nintendo Entertainment System"
"CAT-20394","Super Castlevania IV","Nintendo Super Nintendo Entertainment System"
"CAT-20408","Street Fighter II","Nintendo Super Nintendo Entertainment System"
"CAT-20412","Secret of Mana","Nintendo Super Nintendo Entertainment System"
"CAT-20413","Pocky & Rocky","Nintendo Super Nintendo Entertainment System"
"CAT-20417","Ardy Lightfoot","Nintendo Super Nintendo Entertainment System"
"CAT-20436","Tintin in Tibet","Nintendo Super Nintendo Entertainment System"
"CAT-20585","Super Dunk Star;スーパーダンクスター","Nintendo Super Famicom"
"CAT-20592","Zico Soccer;ジーコ サッカー","Nintendo Super Famicom"
"CAT-21667","Rise Of The Robots;ライズ オブ ザ ロボッツ","Nintendo Super Famicom"
"CAT-21668","Stealth;ステルス","Nintendo Super Famicom"
"CAT-21685","Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ","Nintendo Super Famicom"
"CAT-21704","Casper;キャスパー","Nintendo Super Famicom"
"CAT-21717","Ghoul Patrol;グールパトロール","Nintendo Super Famicom"
"CAT-21791","Battle Submarine;バトルサブマリン","Nintendo Super Famicom"
"CAT-21803","Joushou Mahjong Tenpai;常勝麻雀 天牌","Nintendo Super Famicom"
