object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm
9088,Nintendo Super Famicom,SFC,Elfaria A Fantastic Theater,Elfaria A Fantastic Theater,primary_ascii,エルファリア|Elfaria The Isle of the Blest,NTSC-J,ja
9092,Nintendo Super Famicom,SFC,Garou Densetsu Shukumei no Tatakai,Garou Densetsu Shukumei no Tatakai,primary_ascii,餓狼伝説 宿命の闘い|がろうでんせつ|Fatal Fury,NTSC-J,ja
9097,Nintendo Super Famicom,SFC,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,primary_ascii,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！|Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!|Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!,NTSC-J,ja
9101,Nintendo Super Famicom,SFC,Super Mahjong Taikai,Super Mahjong Taikai,primary_ascii,スーパー麻雀大会,NTSC-J,ja
9102,Nintendo Super Famicom,SFC,Super F1 Circus,Super F1 Circus,primary_ascii,スーパーエフワン サーカス|Super F-1 Circus,NTSC-J,ja
9103,Nintendo Super Famicom,SFC,Suzuka 8 Hours,Suzuka 8 Hours,primary_ascii,スズカエイトアワーズ,NTSC-J,ja
9121,Nintendo Super Famicom,SFC,Classic Road II,Classic Road II,primary_ascii,クラシックロードII|Classic Road 2,NTSC-J,ja
9148,Nintendo Super Famicom,SFC,Super 4WD The Baja,Super 4WD The Baja,primary_ascii,スーパ4WDーザ・バハ|スーパ よんグプリユテイー ザ・バハ|Super Off Road The Baja,NTSC-J,ja
9152,Nintendo Super Famicom,SFC,Jungle Wars 2 Kodai Mahou Atimos no Nazo,Jungle Wars 2 Kodai Mahou Atimos no Nazo,primary_ascii,ジャングルウォーズ2 古代魔法アティモスの謎,NTSC-J,ja
9164,Nintendo Super Famicom,SFC,Hat Trick Hero,Hat Trick Hero,primary_ascii,ハットトリックヒーロー,NTSC-J,ja
9171,Nintendo Super Famicom,SFC,Samurai Spirits,Samurai Spirits,primary_ascii,侍魂 サムライスピリッツ|Samurai Shodown,NTSC-J,ja
9174,Nintendo Super Famicom,SFC,Romancing Sa-Ga,Romancing Sa-Ga,primary_ascii,ロマンシング サ·ガ|Romancing Sa·Ga|Romancing Sa Ga|Romancing SaGa,NTSC-J,ja
9181,Nintendo Super Famicom,SFC,Super Robot Taisen EX,Super Robot Taisen EX,primary_ascii,スーパーロボット大戦EX|Super Robot Wars EX,NTSC-J,ja
9182,Nintendo Super Famicom,SFC,Wagyan Paradise,Wagyan Paradise,primary_ascii,ワギャンパラダイス,NTSC-J,ja
9183,Nintendo Super Famicom,SFC,Super Dunk Star,Super Dunk Star,primary_ascii,スーパーダンクスター,NTSC-J,ja
9186,Nintendo Super Famicom,SFC,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,primary_ascii,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん|Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun,NTSC-J,ja
9191,Nintendo Super Famicom,SFC,Tenchi Muyou! Game Hen,Tenchi Muyou! Game Hen,primary_ascii,天地無用！ げーむ編|Tenchi Muyo! Game Edition,NTSC-J,ja
9192,Nintendo Super Famicom,SFC,Densetsu no Ogre Battle,Densetsu no Ogre Battle,primary_ascii,伝説のオウガバトル|でんせつのオウガバトル|Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen|Ogre Battle The March of the Black Queen,NTSC-J,ja
9193,Nintendo Super Famicom,SFC,Estpolis Denki II,Estpolis Denki II,primary_ascii,エストポリス伝記II|Estpolis Denki 2|Lufia II Rise of the Sinistrals|Lufia 2 Rise of the Sinistrals,NTSC-J,ja
9194,Nintendo Super Famicom,SFC,Front Mission,Front Mission,primary_ascii,フロントミッション,NTSC-J,ja
9195,Nintendo Super Famicom,SFC,Dragon Quest I.II,Dragon Quest I.II,primary_ascii,ドラゴンクエストI・II|Dragon Quest 1 & 2|Dragon Quest I·II|Dragon Quest I . II,NTSC-J,ja
9196,Nintendo Super Famicom,SFC,Mini Shiku Shining Scorpion Ready & Go!!,Mini Shiku Shining Scorpion Ready & Go!!,primary_ascii,ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！|Mini Shiku Shining Scorpion Ready Let's and Go!!,NTSC-J,ja
9197,Nintendo Super Famicom,SFC,RPG Tsukuru Super Dante,RPG Tsukuru Super Dante,primary_ascii,RPGツクール スーパーダンテ,NTSC-J,ja
9198,Nintendo Super Famicom,SFC,David Crane's Amazing Tennis,David Crane's Amazing Tennis,primary_ascii,David Crane's アメージングテニス,NTSC-J,ja
9199,Nintendo Super Famicom,SFC,2020 Super Baseball,2020 Super Baseball,primary_ascii,2020年 スーパーベースボール|2020 SuperBaseball,NTSC-J,ja
9201,Nintendo Super Famicom,SFC,Garou Densetsu 2 Aratanaru Tatakai,Garou Densetsu 2 Aratanaru Tatakai,primary_ascii,餓狼伝説2 -新たなる闘い-|餓狼伝説２ ～新たなる闘い～|Fatal Fury 2,NTSC-J,ja
9202,Nintendo Super Famicom,SFC,Tetris Battle Gaiden,Tetris Battle Gaiden,primary_ascii,テトリスバトル 武闘外伝,NTSC-J,ja
9203,Nintendo Super Famicom,SFC,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,primary_ascii,北斗の拳6 激闘伝承拳 覇王への道|Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi|Fist of the North Star 6,NTSC-J,ja
9204,Nintendo Super Famicom,SFC,F-1 Grand Prix Part III,F-1 Grand Prix Part III,primary_ascii,F1グランプリ パート3|F-1 Grand Prix Part 3|F1 Grand Prix Part III,NTSC-J,ja
9206,Nintendo Super Famicom,SFC,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,primary_ascii,北斗の拳7 聖拳列伝 伝承者への道|Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi|Fist of the North Star 7,NTSC-J,ja
9207,Nintendo Super Famicom,SFC,Fortune Quest Dice wo Korogase,Fortune Quest Dice wo Korogase,primary_ascii,フォーチュンクエスト ダイスをころがせ,NTSC-J,ja
9208,Nintendo Super Famicom,SFC,Namco Open,Namco Open,primary_ascii,ナムコットオープン,NTSC-J,ja
