object_id,parent_object,source_object,title_primary,platform_norm,object_category,is_virtual_child
9307,,9307,Mother 2 Gyiyg no Gyakushuu,SFC,Game,False
9308,,9308,ActRaiser,SFC,Game,False
9309,,9309,King of the Monsters 2 The Next Thing,SFC,Game,False
9310,,9310,Bakukyu Rennpatsu!! Super B-Daman,SFC,Game,False
9311,,9311,Nekketsu Tairiku Burning Heroes,SFC,Game,False
9312,,9312,2020 Super Baseball,SFC,Game,False
9313,,9313,Super Tetris 3,SFC,Game,False
9314,,9314,Aqutallion,SFC,Game,False
9316,,9316,Ranma ½ Chounai Gekitou Hen,SFC,Game,False
9318,,9318,Super Tetris 2 + Bombliss Gentei Han,SFC,Game,False
9321,,9321,Rudra no Hihou,SFC,Game,False
9322,,9322,Bomberman B-Daman,SFC,Game,False
9323,,9323,Spindizzy Worlds,SFC,Game,False
9324,,9324,GP-1,SFC,Game,False
9326,,9326,Bahamut Lagoon,SFC,Game,False
9328,,9328,Slap Stick,SFC,Game,False
9329,,9329,Super Puyo Puyo 2,SFC,Game,False
9330,,9330,Slayers,SFC,Game,False
9331,,9331,Monster Maker III Hikari no Majutsushi,SFC,Game,False
9358,,9358,Super Shanghai Dragon's Eye,SFC,Game,False
9393,,9393,Super Street Fighter II The New Challengers,SFC,Game,False
9401,,9401,Tetris Battle Gaiden,SFC,Game,False
9414,,9414,Sandra no Daibouken Valkyrie Tono Deai,SFC,Game,False
9421,,9421,Fire Emblem Seisen no Keifu,SFC,Game,False
9428,,9428,Street Fighter II Turbo Hyper Fighting,SFC,Game,False
9436,,9436,3x3 Eyes Sazanaizu Seima Kourinden,SFC,Game,False
9447,,9447,Mahoujin Guru Guru,SFC,Game,False
9454,,9454,Laplace no Ma,SFC,Game,False
9482,,9482,Hana no Keiji Kumo no Kanata ni,SFC,Game,False
9498,,9498,Bishoujo Janshi Suchie-Pai,SFC,Game,False
9523,,9523,Final Fantasy VI,SFC,Game,False
9536,,9536,Pop'n TwinBee,SFC,Game,False
9553,,9553,Doraemon 2 Nobita no Toys Land Daibouken,SFC,Game,False
9554,,9554,Final Fantasy IV,SFC,Game,False
9558,,9558,Sky Mission,SFC,Game,False
9569,,9569,Gouketsuji Ichizoku,SFC,Game,False
9573,,9573,Ryuuko no Ken,SFC,Game,False
9580,,9580,Super Bowling,SFC,Game,False
9766,,9766,Parodius Da! Shinwa kara Owarai e,SFC,Game,False
9767,,9767,Ranma ½ Akanekodan Teki Hihou,SFC,Game,False
9768,,9768,Fire Emblem Monshou no Nazo,SFC,Game,False
9769,,9769,Cosmo Gang The Video,SFC,Game,False
9773,,9773,Space Invaders The Original Game,SFC,Game,False
9775,,9775,Ganbare Goemon 2 Kiteretsu Shougun Magginesu,SFC,Game,False
9777,,9777,Super Snakey,SFC,Game,False
9779,,9779,NBA Jam,SFC,Game,False
9780,,9780,Lagoon,SFC,Game,False
9781,,9781,Doraemon 4 Nobita to Tsuki no Oukoku,SFC,Game,False
9786,,9786,Bokujou Monogatari,SFC,Game,False
9793,,9793,Takahashi Meijin no Daibouken Shima II,SFC,Game,False
9795,,9795,Dragon Quest V Tenkuu no Hanayome,SFC,Game,False
9796,,9796,Last Bible III,SFC,Game,False
9801,,9801,Kaite Tsukutte Asoberu Dezaemon,SFC,Game,False
9802,,9802,Super Robot Taisen Gaiden Masou Kishin The Lord Of Elemental,SFC,Game,False
9804,,9804,Ski Paradise with Snowboard,SFC,Game,False
9805,,9805,Final Fantasy V,SFC,Game,False
9807,,9807,Rockman's Soccer,SFC,Game,False
9809,,9809,Magical Taruruuto-kun Magic Adventure,SFC,Game,False
9810,,9810,Panic in Nakayoshi World,SFC,Game,False
9811,,9811,Lemmings,SFC,Game,False
9813,,9813,Super Robot Taisen Gaiden Masou Kishin The Lord Of Elemental,SFC,Game,False
9816,,9816,Captain Tsubasa III Koutei no Chousen,SFC,Game,False
9818,,9818,Super Puyo Puyo 2 Remix,SFC,Game,False
9819,,9819,Aretha,SFC,Game,False
9820,,9820,J League Soccer Prime Goal,SFC,Game,False
9821,,9821,Wild Trax,SFC,Game,False
9826,,9826,Chrono Trigger,SFC,Game,False
9831,,9831,Aretha II Ariel no Fushigi na Tabi,SFC,Game,False
10122,,10122,Zan II Spirits,SFC,Game,False
10129,,10129,Elnard,SFC,Game,False
10155,,10155,NFL Pro Football John Madden '94,SFC,Game,False
10173,,10173,Yuu Yuu Hakusho,SFC,Game,False
10174,,10174,Tsuppari Oozumou Risshin Shusse-hen,SFC,Game,False
10175,,10175,Libble Rabble,SFC,Game,False
10176,,10176,Super F1 Circus Limited,SFC,Game,False
10178,,10178,Super Kick Boxing,SFC,Game,False
10180,,10180,Super Momotarou Dentetsu III,SFC,Game,False
10183,,10183,Momotarou Dentetsu Happy,SFC,Game,False
10185,,10185,Super Fire ProWrestling III Final Bout,SFC,Game,False
10186,,10186,Super Wagyan Land 2,SFC,Game,False
10190,,10190,Bijo to Yajuu,SFC,Game,False
10192,,10192,NBA Jikkyou Basket Winning Dunk,SFC,Game,False
10196,,10196,From TV Animation Slam Dunk Shikyou Gekitotsu!!,SFC,Game,False
10199,,10199,Super Igo Go Ou,SFC,Game,False
10201,,10201,Battle Grand Prix,SFC,Game,False
10205,,10205,Drift King Shutokou Battle '94 Tsuchiya Keiichi & Bandou Masaaki,SFC,Game,False
10207,,10207,Jimmy Connors Pro Tennis Tour,SFC,Game,False
10212,,10212,Super Formation Soccer II,SFC,Game,False
10213,,10213,Wakataka Oozumou Yume no Kyodai Taiketsu,SFC,Game,False
10216,,10216,Super Mario Bros. 4 Super Mario World,SFC,Game,False
10228,,10228,Spirit Oozumou Tamashii,SFC,Game,False
10231,,10231,F-1 Grand Prix,SFC,Game,False
10236,,10236,F-1 Grand Prix Part II,SFC,Game,False
10239,,10239,Sangokushi Seishi Tenbu Spirits,SFC,Game,False
10249,,10249,Kunio-kun no Dodge Ball dayo Zenin Shuugou! Tournament Special,SFC,Game,False
10254,,10254,International Tennis Tour,SFC,Game,False
10258,,10258,Drift King Shutokou Battle 2 Tsuchiya Keiichi & Bandou Masaaki,SFC,Game,False
10264,,10264,Lady Stalker Kako kara no Chousen,SFC,Game,False
10270,,10270,J League Soccer Prime Goal 3,SFC,Game,False
10279,,10279,USA Ice Hockey,SFC,Game,False
10289,,10289,J League Soccer Prime Goal 3,SFC,Game,False
