edition_id,title_primary,platform,country,language,release_date,source_object
ED-2410515907,Blackhawk,SNES,UNK,xx,,19839
ED-2410515907,Blackhawk,SNES,UNK,xx,,26993
ED-A81D052EC2,Blackthorne Fukushuu no Kuroki Kyoku,SFC,GB,ja,,22338
ED-A81D052EC2,Blackthorne Fukushuu no Kuroki Kyoku,SFC,JP,ja,,22338
ED-DDC7355AB9,Blazing Skies,SNES,EU,en,,20382
ED-DDC7355AB9,Blazing Skies,SNES,EU,en,,1870
ED-DDC7355AB9,Blazing Skies,SNES,EU,xx,,42991
ED-DDC7355AB9,Blazing Skies,SNES,EU,xx,,40361
ED-DDC7355AB9,Blazing Skies,SNES,SE,sv,,26969
ED-7E98114AE3,Blazing Skies,SNES,UNK,xx,,1870
ED-7E98114AE3,Blazing Skies,SNES,UNK,xx,,20382
ED-7E98114AE3,Blazing Skies,SNES,UNK,xx,,26969
ED-7E98114AE3,Blazing Skies,SNES,UNK,xx,,40361
ED-7E98114AE3,Blazing Skies,SNES,UNK,xx,,42991
ED-49B15B62A5,Block Kuzushi,SFC,JP,ja,,34728
ED-671E1781F6,Bokujou Monogatari,SFC,JP,ja,,9786
ED-671E1781F6,Bokujou Monogatari,SFC,JP,ja,,23718
ED-4740D25C0B,Bomberman B-Daman,SFC,JP,ja,,9322
ED-4740D25C0B,Bomberman B-Daman,SFC,JP,ja,,23857
ED-DA38451B09,Bombuzal,SFC,JP,ja,,10823
ED-DA38451B09,Bombuzal,SFC,JP,ja,,38280
ED-DA38451B09,Bombuzal,SFC,JP,ja,,55887
ED-2A9EB8E32F,Boogerman A Pick and Flick Adventure,SNES,DE,de,,19823
ED-1E8EB16774,Boogerman A Pick and Flick Adventure,SNES,DE,de,,19823
ED-2A9EB8E32F,Boogerman A Pick and Flick Adventure,SNES,DE,en,,19823
ED-E7B8181A22,Bounty Sword,SFC,JP,ja,,34435
ED-216A2250DA,Brain Lord,SFC,JP,ja,,34395
ED-31D3296221,Bram Stoker's Dracula,SNES,UNK,xx,,26696
ED-31D3296221,Bram Stoker's Dracula,SNES,UNK,xx,,37930
ED-47E94920E3,Bram Stoker's Dracula,SNES,US,xx,,26696
ED-47E94920E3,Bram Stoker's Dracula,SNES,US,xx,,37930
ED-D9E4986C68,Brandish,SFC,JP,ja,,38416
ED-1730C1436E,Brandish 2 Expert,SFC,JP,ja,,23790
ED-7C85960364,Brandish 2 The Planet Buster,SFC,JP,ja,,22451
ED-6219810DB2,Breath of Fire,SNES,UNK,xx,,37953
ED-33DBAD52E0,Breath of Fire,SNES,US,xx,,37953
ED-060947E643,Breath of Fire 2 Shimei no Ko,SFC,JP,ja,,59686
ED-8890A70C65,Breath of Fire II,SNES,EU,en,,20410
ED-CC7D56544F,Breath of Fire II,SNES,UNK,xx,,20410
ED-CC7D56544F,Breath of Fire II,SNES,UNK,xx,,37951
ED-79F654059F,Breath of Fire II,SNES,US,xx,,37951
ED-8537894E28,Breath of Fire II Shimei no Ko,SFC,JP,ja,,23721
ED-268D6A6F70,Breath of Fire Ryuu no Senshi,SFC,JP,ja,,24018
ED-F6BD638200,Brett Hull Hockey,SNES,EU,en,,19913
ED-F6BD638200,Brett Hull Hockey,SNES,EU,xx,,42348
ED-DB5BC547AC,Brett Hull Hockey,SNES,UNK,xx,,19913
ED-DB5BC547AC,Brett Hull Hockey,SNES,UNK,xx,,42348
ED-0C47289DD7,Bubsy In: Claws Encounters of the Furred Kind,SNES,EU,en,,26667
ED-0C47289DD7,Bubsy In: Claws Encounters of the Furred Kind,SNES,EU,en,,19768
ED-56B6DC9B81,Bubsy In: Claws Encounters of the Furred Kind,SNES,UNK,xx,,19768
ED-56B6DC9B81,Bubsy In: Claws Encounters of the Furred Kind,SNES,UNK,xx,,26667
ED-B8B0524546,Bugs Bunny Rabbit Rampage,SNES,EU,en,,20349
ED-B8B0524546,Bugs Bunny Rabbit Rampage,SNES,EU,xx,,42331
ED-4A2C34FADA,Bugs Bunny Rabbit Rampage,SNES,UNK,xx,,20349
ED-4A2C34FADA,Bugs Bunny Rabbit Rampage,SNES,UNK,xx,,42331
ED-A80ED1A986,Bundled with Amiibo,WIIU,UNK,xx,,27799#1
ED-031A864561,Burai Hachigyoku no Yuushi Densetsu,SFC,JP,ja,,21952
ED-B5972DAE4E,Bushi Seiryuuden Futari no Yuusha,SFC,JP,ja,,34720
ED-272A51FD6E,CB Chara Wars Ushinawareta Gag,SFC,JP,ja,,9230
ED-272A51FD6E,CB Chara Wars Ushinawareta Gag,SFC,JP,ja,,35415
ED-BF8F1B5753,Cacoma Knight,SFC,JP,ja,,21913
ED-413D2BA6F9,California Games II,SFC,JP,ja,,35374
ED-25FCB4B0E0,Cameltry,SFC,JP,ja,,9289
ED-25FCB4B0E0,Cameltry,SFC,JP,ja,,19981
ED-0637D9C201,Cannon Fodder,SNES,EU,en,,26582
ED-662FB95D4A,Cannon Fodder,SNES,UNK,xx,,26582
ED-4430907DC8,"Capcom Power Stick Fighter Cordless Adapter, Wireless Receiver, カプコン・パワー・スティック・ファイターのコードレス",FAMICOM,JP,ja,,57477
ED-99F56FCE0C,Captain Commando,SFC,JP,ja,,36959
ED-8FDB033F4D,Captain Tsubasa III Koutei no Chousen,SFC,JP,ja,,9816
