"edition_id","title_primary","platform"
"CAT-01867","Kirby's Dream Course;Kirby Bowl","Nintendo Super Nintendo Entertainment System"
"CAT-01868","Michael Jordan Chaos in the Windy City","Nintendo Super Nintendo Entertainment System"
"CAT-01869","Last Action Hero","Nintendo Super Nintendo Entertainment System"
"CAT-01870","Blazing Skies;Wings 2 Aces High;Sky Mission","Nintendo Super Nintendo Entertainment System"
"CAT-01871","Paperboy 2","Nintendo Super Nintendo Entertainment System"
"CAT-01872","Pink Goes to Hollywood;Pink Panther","Nintendo Super Nintendo Entertainment System"
"CAT-01873","Aero the Acro-Bat","Nintendo Super Nintendo Entertainment System"
"CAT-01874","Doom","Nintendo Super Nintendo Entertainment System"
"CAT-01875","Magic Boy","Nintendo Super Nintendo Entertainment System"
"CAT-01876","Kid Klown in Crazy Chase","Nintendo Super Nintendo Entertainment System"
"CAT-01877","Astérix","Nintendo Super Nintendo Entertainment System"
"CAT-01878","Les Schtroumpfs autour du monde;De Smurfen Verkennen de wereld;The Smurfs Travel the World","Nintendo Super Nintendo Entertainment System"
"CAT-01879","Rival Turf!;Rushing Beat","Nintendo Super Nintendo Entertainment System"
"CAT-01880","The Incredible Crash Dummies;The Incredible Crash Dummies Slick Bouya no Daichousen","Nintendo Super Nintendo Entertainment System"
"CAT-01881","Tetris & Dr. Mario;Tetris & Dr Mario;Tetris and Dr. Mario;Tetris and Doctor Mario","Nintendo Super Nintendo Entertainment System"
"CAT-01882","Kirby's Ghost Trap;Kirby's Avalanche;Super Puyo Puyo","Nintendo Super Nintendo Entertainment System"
"CAT-03462","Mystic Quest Legend;Final Fantasy Mystic Quest;Final Fantasy USA Mystic Quest","Nintendo Super Nintendo Entertainment System"
"CAT-08979","The Hunt For Red October;レッド オクトーバー;レッド・オクトーバー","Nintendo Super Famicom"
"CAT-08980","Treasure Hunter G;トレジャーハンターG","Nintendo Super Famicom"
"CAT-08981","Mouryou Senki Madara 2;魍魎戦記 Mandara 2;魍魎戦記 マダラ 2","Nintendo Super Famicom"
"CAT-08982","GP-1 Rapid Stream;ＧＰ－１ ラピッドストリーム;GP1 Rapid Stream;GP-1 Part II;GP-1 Part 2","Nintendo Super Famicom"
"CAT-08984","Super F1 Circus 2;スーパー エフワン サーカス2;Super F-1 Circus 2","Nintendo Super Famicom"
"CAT-08985","Angelique;アンジェリーク","Nintendo Super Famicom"
"CAT-08988","Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク","Nintendo Super Famicom"
"CAT-08989","Mario & Wario;マリオとワリオ;Mario and Wario","Nintendo Super Famicom"
"CAT-09001","Doraemon 3 Nobita to Toki no Hougyoku;ドラえもん3 のび太と時の宝玉;Doraemon 3 Nobita to Toki no Hogyoku","Nintendo Super Famicom"
"CAT-09004","NHL Pro Hockey '94;NHLプロホッケー'94;NHL Pro Hockey 94","Nintendo Super Famicom"
"CAT-09005","Emerald Dragon;エメラルドドラゴン;Emerald Dragon ED","Nintendo Super Famicom"
"CAT-09006","Street Fighter II;ストリートファイターII;Street Fighter 2 The World Warrior;Street Fighter II The World Warrior","Nintendo Super Famicom"
"CAT-09007","Chou Makai Taisen! Dorabocchan;超魔界大戦! どらぼっちゃん;Chou Makai Taisen! Dorabot-chan;Chou Makai Taisen! Doraboc Chan;Chou Makai Taisen! Dorabotchan","Nintendo Super Famicom"
"CAT-09008","Dragon Ball Z Super Saiya Densetsu;ドラゴンボールZ スーパー超サイヤ伝説;ドラゴンボールZ 超サイヤ伝説;Dragon Ball Z Chou Saiya Densetsu;Dragon Ball Z Legend of the Super Saiyan","Nintendo Super Famicom"
"CAT-09009","Natsuki Crisis Battle;なつきクライシスバトル","Nintendo Super Famicom"
"CAT-09010","Super Bomberman Panic Bomber W;スーパーボンバーマン ぱにっくボンバーW;スーパーボンバーマン ぱにっくボンバーワールド;Super Bomberman Panic Bomber World","Nintendo Super Famicom"
"CAT-09011","Romancing Sa-Ga 3;ロマンシング サ·ガ3;Romancing Sa·Ga 3;Romancing Sa Ga 3;Romancing SaGa 3","Nintendo Super Famicom"
"CAT-09012","Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic;美少女戦士セーラームーンSuperS ふわふわパニック;美少女戦士セーラームーンSuper S ふわふわパニック;Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic","Nintendo Super Famicom"
"CAT-09013","Super Mario Kart;スーパーマリオカート","Nintendo Super Famicom"
"CAT-09014","Royal Conquest;ロイヤルコンクエスト","Nintendo Super Famicom"
"CAT-09015","Ultraman;ウルトラマン","Nintendo Super Famicom"
"CAT-09016","Mystic Ark;ミスティック・アーク","Nintendo Super Famicom"
"CAT-09017","Sim City;シムシティー;SimCity","Nintendo Super Famicom"
"CAT-09018","Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame;がんばれゴエモン3 獅子重禄兵衛のからくり卍固め;がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため;Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame","Nintendo Super Famicom"
"CAT-09019","Captain Tsubasa IV Pro no Rival Tachi;キャプテン翼IV —プロのライバルたち—;Captain Tsubasa IV Pro no Rival-tachi;Captain Tsubasa 4 Pro no Rival Tachi","Nintendo Super Famicom"
"CAT-09073","Ganbare Goemon Yukihime Kyuushutsu Emaki;がんばれゴエモン〜ゆき姫救出絵巻〜;Ganbare Goemon Yuki Hime Kyuushutsu Emaki;Ganbare Goemon Yukihime Kyūshutsu Emaki;The Legend of the Mystical Ninja","Nintendo Super Famicom"
