object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm,media_norm,edition_key,edition_id
9012,Nintendo Super Famicom,SFC,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,primary_ascii,美少女戦士セーラームーンSuperS ふわふわパニック|美少女戦士セーラームーンSuper S ふわふわパニック|Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,NTSC-J,ja,cartridge,SFC | Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic | NTSC-J | ja | cartridge,dd5e44937efb06ae
9013,Nintendo Super Famicom,SFC,Super Mario Kart,Super Mario Kart,primary_ascii,スーパーマリオカート,NTSC-J,ja,cartridge,SFC | Super Mario Kart | NTSC-J | ja | cartridge,b64c7eb4721fba6f
9014,Nintendo Super Famicom,SFC,Royal Conquest,Royal Conquest,primary_ascii,ロイヤルコンクエスト,NTSC-J,ja,cartridge,SFC | Royal Conquest | NTSC-J | ja | cartridge,0cc95fffe8f9cba0
9015,Nintendo Super Famicom,SFC,Ultraman,Ultraman,primary_ascii,ウルトラマン,NTSC-J,ja,cartridge,SFC | Ultraman | NTSC-J | ja | cartridge,541f1e00b942538f
9016,Nintendo Super Famicom,SFC,Mystic Ark,Mystic Ark,primary_ascii,ミスティック・アーク,NTSC-J,ja,cartridge,SFC | Mystic Ark | NTSC-J | ja | cartridge,2dca2d9b50ba09e2
9017,Nintendo Super Famicom,SFC,Sim City,Sim City,primary_ascii,シムシティー|SimCity,NTSC-J,ja,cartridge,SFC | Sim City | NTSC-J | ja | cartridge,430d98291c14a63e
9018,Nintendo Super Famicom,SFC,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame,primary_ascii,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め|がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため|Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame,NTSC-J,ja,cartridge,SFC | Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame | NTSC-J | ja | cartridge,33c40eb14d89c539
9019,Nintendo Super Famicom,SFC,Captain Tsubasa IV Pro no Rival Tachi,Captain Tsubasa IV Pro no Rival Tachi,primary_ascii,キャプテン翼IV -プロのライバルたち-|Captain Tsubasa IV Pro no Rival-tachi|Captain Tsubasa 4 Pro no Rival Tachi,NTSC-J,ja,cartridge,SFC | Captain Tsubasa IV Pro no Rival Tachi | NTSC-J | ja | cartridge,82cd9190c7ca70fc
9073,Nintendo Super Famicom,SFC,Ganbare Goemon Yukihime Kyuushutsu Emaki,Ganbare Goemon Yukihime Kyuushutsu Emaki,primary_ascii,がんばれゴエモン〜ゆき姫救出絵巻〜|Ganbare Goemon Yuki Hime Kyuushutsu Emaki|Ganbare Goemon Yukihime Kyūshutsu Emaki|The Legend of the Mystical Ninja,NTSC-J,ja,cartridge,SFC | Ganbare Goemon Yukihime Kyuushutsu Emaki | NTSC-J | ja | cartridge,d85f29132cb88f93
9088,Nintendo Super Famicom,SFC,Elfaria A Fantastic Theater,Elfaria A Fantastic Theater,primary_ascii,エルファリア|Elfaria The Isle of the Blest,NTSC-J,ja,cartridge,SFC | Elfaria A Fantastic Theater | NTSC-J | ja | cartridge,a72ccc43c0fe7a94
9092,Nintendo Super Famicom,SFC,Garou Densetsu Shukumei no Tatakai,Garou Densetsu Shukumei no Tatakai,primary_ascii,餓狼伝説 宿命の闘い|がろうでんせつ|Fatal Fury,NTSC-J,ja,cartridge,SFC | Garou Densetsu Shukumei no Tatakai | NTSC-J | ja | cartridge,e09d033920831c61
9097,Nintendo Super Famicom,SFC,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,primary_ascii,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！|Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!|Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!,NTSC-J,ja,cartridge,SFC | Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!! | NTSC-J | ja | cartridge,3ddbe917e333d4d3
9101,Nintendo Super Famicom,SFC,Super Mahjong Taikai,Super Mahjong Taikai,primary_ascii,スーパー麻雀大会,NTSC-J,ja,cartridge,SFC | Super Mahjong Taikai | NTSC-J | ja | cartridge,2e662d76d8c4d828
9102,Nintendo Super Famicom,SFC,Super F1 Circus,Super F1 Circus,primary_ascii,スーパーエフワン サーカス|Super F-1 Circus,NTSC-J,ja,cartridge,SFC | Super F1 Circus | NTSC-J | ja | cartridge,360ade4b57ccb738
9103,Nintendo Super Famicom,SFC,Suzuka 8 Hours,Suzuka 8 Hours,primary_ascii,スズカエイトアワーズ,NTSC-J,ja,cartridge,SFC | Suzuka 8 Hours | NTSC-J | ja | cartridge,30c83d893957ba24
9121,Nintendo Super Famicom,SFC,Classic Road II,Classic Road II,primary_ascii,クラシックロードII|Classic Road 2,NTSC-J,ja,cartridge,SFC | Classic Road II | NTSC-J | ja | cartridge,e9a96a5fe518c69f
9148,Nintendo Super Famicom,SFC,Super 4WD The Baja,Super 4WD The Baja,primary_ascii,スーパ4WDーザ・バハ|スーパ よんグプリユテイー ザ・バハ|Super Off Road The Baja,NTSC-J,ja,cartridge,SFC | Super 4WD The Baja | NTSC-J | ja | cartridge,0522db5caec854c9
9152,Nintendo Super Famicom,SFC,Jungle Wars 2 Kodai Mahou Atimos no Nazo,Jungle Wars 2 Kodai Mahou Atimos no Nazo,primary_ascii,ジャングルウォーズ2 古代魔法アティモスの謎,NTSC-J,ja,cartridge,SFC | Jungle Wars 2 Kodai Mahou Atimos no Nazo | NTSC-J | ja | cartridge,a122ccc9bd852416
9164,Nintendo Super Famicom,SFC,Hat Trick Hero,Hat Trick Hero,primary_ascii,ハットトリックヒーロー,NTSC-J,ja,cartridge,SFC | Hat Trick Hero | NTSC-J | ja | cartridge,9eebd248ca4c9d50
9171,Nintendo Super Famicom,SFC,Samurai Spirits,Samurai Spirits,primary_ascii,侍魂 サムライスピリッツ|Samurai Shodown,NTSC-J,ja,cartridge,SFC | Samurai Spirits | NTSC-J | ja | cartridge,334cd13987032a91
9174,Nintendo Super Famicom,SFC,Romancing Sa-Ga,Romancing Sa-Ga,primary_ascii,ロマンシング サ·ガ|Romancing Sa·Ga|Romancing Sa Ga|Romancing SaGa,NTSC-J,ja,cartridge,SFC | Romancing Sa-Ga | NTSC-J | ja | cartridge,819c549e940fc587
9181,Nintendo Super Famicom,SFC,Super Robot Taisen EX,Super Robot Taisen EX,primary_ascii,スーパーロボット大戦EX|Super Robot Wars EX,NTSC-J,ja,cartridge,SFC | Super Robot Taisen EX | NTSC-J | ja | cartridge,08c8b9c8a436ae82
9182,Nintendo Super Famicom,SFC,Wagyan Paradise,Wagyan Paradise,primary_ascii,ワギャンパラダイス,NTSC-J,ja,cartridge,SFC | Wagyan Paradise | NTSC-J | ja | cartridge,ed53742a9eb7e0fd
9183,Nintendo Super Famicom,SFC,Super Dunk Star,Super Dunk Star,primary_ascii,スーパーダンクスター,NTSC-J,ja,cartridge,SFC | Super Dunk Star | NTSC-J | ja | cartridge,2e7c8c9cdd483d1b
9186,Nintendo Super Famicom,SFC,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,primary_ascii,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん|Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun,NTSC-J,ja,cartridge,SFC | Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun | NTSC-J | ja | cartridge,e20765067b6e4b52
9191,Nintendo Super Famicom,SFC,Tenchi Muyou! Game Hen,Tenchi Muyou! Game Hen,primary_ascii,天地無用！ げーむ編|Tenchi Muyo! Game Edition,NTSC-J,ja,cartridge,SFC | Tenchi Muyou! Game Hen | NTSC-J | ja | cartridge,45f4bc227aeea3c1
9192,Nintendo Super Famicom,SFC,Densetsu no Ogre Battle,Densetsu no Ogre Battle,primary_ascii,伝説のオウガバトル|でんせつのオウガバトル|Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen|Ogre Battle The March of the Black Queen,NTSC-J,ja,cartridge,SFC | Densetsu no Ogre Battle | NTSC-J | ja | cartridge,883fa91961f1043e
9193,Nintendo Super Famicom,SFC,Estpolis Denki II,Estpolis Denki II,primary_ascii,エストポリス伝記II|Estpolis Denki 2|Lufia II Rise of the Sinistrals|Lufia 2 Rise of the Sinistrals,NTSC-J,ja,cartridge,SFC | Estpolis Denki II | NTSC-J | ja | cartridge,0f2d188c8e6d6b8e
9194,Nintendo Super Famicom,SFC,Front Mission,Front Mission,primary_ascii,フロントミッション,NTSC-J,ja,cartridge,SFC | Front Mission | NTSC-J | ja | cartridge,28f44c4bbf295642
9195,Nintendo Super Famicom,SFC,Dragon Quest I.II,Dragon Quest I.II,primary_ascii,ドラゴンクエストI・II|Dragon Quest 1 & 2|Dragon Quest I·II|Dragon Quest I . II,NTSC-J,ja,cartridge,SFC | Dragon Quest I.II | NTSC-J | ja | cartridge,2240f1db96e93a25
9196,Nintendo Super Famicom,SFC,Mini Shiku Shining Scorpion Ready & Go!!,Mini Shiku Shining Scorpion Ready & Go!!,primary_ascii,ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！|Mini Shiku Shining Scorpion Ready Let's and Go!!,NTSC-J,ja,cartridge,SFC | Mini Shiku Shining Scorpion Ready & Go!! | NTSC-J | ja | cartridge,3ffe58f948bd40c5
9197,Nintendo Super Famicom,SFC,RPG Tsukuru Super Dante,RPG Tsukuru Super Dante,primary_ascii,RPGツクール スーパーダンテ,NTSC-J,ja,cartridge,SFC | RPG Tsukuru Super Dante | NTSC-J | ja | cartridge,f8a2349cb359b2e1
9198,Nintendo Super Famicom,SFC,David Crane's Amazing Tennis,David Crane's Amazing Tennis,primary_ascii,David Crane's アメージングテニス,NTSC-J,ja,cartridge,SFC | David Crane's Amazing Tennis | NTSC-J | ja | cartridge,269630c6483d3d77
