object_number,platform_raw_first,platform_norm,title_primary,alt_titles,title_norm,title_norm_source,title_aliases
21815,Nintendo Super Famicom,SFC,SD Gundam Generation Zansukaaru Senki,SDガンダムジェネレーション ザンスカール戦記|SD Gundam Generation 5,SD Gundam Generation Zansukaaru Senki,primary_ascii,SDガンダムジェネレーション ザンスカール戦記|SD Gundam Generation 5
21816,Nintendo Super Famicom,SFC,SD Gundam Generation Colony Kakutouki,SDガンダムジェネレーション コロニー格闘記|SD Gundam Generation 6,SD Gundam Generation Colony Kakutouki,primary_ascii,SDガンダムジェネレーション コロニー格闘記|SD Gundam Generation 6
21817,Nintendo Super Famicom,SFC,Bishoujo Senshi Sailor Moon Sailor Stars Fuwa Fuwa Panic 2 Gentei Set,美少女戦士セーラームーン セーラースターズ 〜ふわふわパニック2 限定セット|Bishoujo Senshi Sailor Moon Sailor Stars Fuwa Fuwa Panic 2 Limited Edition,Bishoujo Senshi Sailor Moon Sailor Stars Fuwa Fuwa Panic 2 Gentei Set,primary_ascii,美少女戦士セーラームーン セーラースターズ 〜ふわふわパニック2 限定セット|Bishoujo Senshi Sailor Moon Sailor Stars Fuwa Fuwa Panic 2 Limited Edition
21818,Nintendo Super Famicom,SFC,Gekisou Sentai Carranger Zenkai! Racer Senshi,激走戦隊カーレンジャー 全開!レーサー戦士,Gekisou Sentai Carranger Zenkai! Racer Senshi,primary_ascii,激走戦隊カーレンジャー 全開!レーサー戦士
21820,Nintendo Super Famicom,SFC,Crayon Shin-chan Nagagutsu Dobon!!,クレヨンしんちゃん 長ぐつどぼん！！,Crayon Shin-chan Nagagutsu Dobon!!,primary_ascii,クレヨンしんちゃん 長ぐつどぼん！！
21825,Nintendo Super Famicom,SFC,SD Gundam Generation Ichinen Sensouki Gentei Set,SDガンダムジェネレーション 一年戦争記|SD Gundam Generation 1 Ichinen Sensouki Limited Edition,SD Gundam Generation Ichinen Sensouki Gentei Set,primary_ascii,SDガンダムジェネレーション 一年戦争記|SD Gundam Generation 1 Ichinen Sensouki Limited Edition
21830,Nintendo Super Famicom,SFC,Poi Poi Ninja World Gentei Set,ぽいぽい忍者ワールド限定セット|Poi Poi Ninja World Limited Edition,Poi Poi Ninja World Gentei Set,primary_ascii,ぽいぽい忍者ワールド限定セット|Poi Poi Ninja World Limited Edition
21865,Nintendo Super Famicom,SFC,Angelique Voice Fantasy with Voicer-kun,アンジェリーク ヴォイス・ファンタジー with ボイサーくん,Angelique Voice Fantasy with Voicer-kun,primary_ascii,アンジェリーク ヴォイス・ファンタジー with ボイサーくん
21867,Nintendo Super Famicom,SFC,Angelique Premium Box,アンジェリーク プレミアムボックス,Angelique Premium Box,primary_ascii,アンジェリーク プレミアムボックス
21868,Nintendo Super Famicom,SFC,Derby Stallion 96,ダービースタリオン96,Derby Stallion 96,primary_ascii,ダービースタリオン96
21869,Nintendo Super Famicom,SFC,Itoi Shigesato no Bass Tsuri No. 1,糸井重里のバス釣りNo.1,Itoi Shigesato no Bass Tsuri No. 1,primary_ascii,糸井重里のバス釣りNo.1
21873,Nintendo Super Famicom,SFC,SD Gundam GNext Senyou ROM Unit & Map Collection,SDガンダムGNEXT 専用ROMパック ユニット＆マップコレクション|SD Gundam GNext Expansion ROM Unit & Map Collection,SD Gundam GNext Senyou ROM Unit & Map Collection,primary_ascii,SDガンダムGNEXT 専用ROMパック ユニット＆マップコレクション|SD Gundam GNext Expansion ROM Unit & Map Collection
21874,Nintendo Super Famicom,SFC,Kishin Douji Zenki Tenchi Meidou,鬼神童子ZENKI 天地鳴動 ゼンキ てんちめいどう,Kishin Douji Zenki Tenchi Meidou,primary_ascii,鬼神童子ZENKI 天地鳴動 ゼンキ てんちめいどう
21875,Nintendo Super Famicom,SFC,Mickey no Tokyo Disneyland Daibouken,ミッキーの東京ディズニーランド 大冒険,Mickey no Tokyo Disneyland Daibouken,primary_ascii,ミッキーの東京ディズニーランド 大冒険
21876,Nintendo Super Famicom,SFC,J League '96 Dream Stadium,Jリーグ'96 ドリームスタジアム,J League '96 Dream Stadium,primary_ascii,Jリーグ'96 ドリームスタジアム
21877,Nintendo Super Famicom,SFC,Cyber Knight II Chikyuu Teikoku no Yabou,サイバーナイトII 地球帝国の野望|Cyber Knight 2 Chikyuu Teikoku no Yabou,Cyber Knight II Chikyuu Teikoku no Yabou,primary_ascii,サイバーナイトII 地球帝国の野望|Cyber Knight 2 Chikyuu Teikoku no Yabou
21878,Nintendo Super Famicom,SFC,Bike Daisuki Hashiri ya Tamashii,バイク大好き！走り屋 魂|Bike Daisuki Rider's-Spirit,Bike Daisuki Hashiri ya Tamashii,primary_ascii,バイク大好き！走り屋 魂|Bike Daisuki Rider's-Spirit
21879,Nintendo Super Famicom,SFC,Super Bomberman,スーパーボンバーマン,Super Bomberman,primary_ascii,スーパーボンバーマン
21881,Nintendo Super Famicom,SFC,Super Sangokushi II Fukkoku-ban,スーパー三国志II 復刻版|Super Sangokushi II Reprint Edition,Super Sangokushi II Fukkoku-ban,primary_ascii,スーパー三国志II 復刻版|Super Sangokushi II Reprint Edition
21882,Nintendo Super Famicom,SFC,Kiteretsu Daihyakka Cho jikuu Sugoroku,キテレツ大百科 超時空すごろく,Kiteretsu Daihyakka Cho jikuu Sugoroku,primary_ascii,キテレツ大百科 超時空すごろく
21884,Nintendo Super Famicom,SFC,Dai Bakushou Jinsei Gekijou Ooedo Nikki,大爆笑 人生劇場 大江戸日記,Dai Bakushou Jinsei Gekijou Ooedo Nikki,primary_ascii,大爆笑 人生劇場 大江戸日記
21886,Nintendo Super Famicom,SFC,Gionbana,祇園花,Gionbana,primary_ascii,祇園花
21887,Nintendo Super Famicom,SFC,Zen Nippon GT Senshuken Hyper Battle Game,全日本GT選手権 Hyper Battle Game,Zen Nippon GT Senshuken Hyper Battle Game,primary_ascii,全日本GT選手権 Hyper Battle Game
21889,Nintendo Super Famicom,SFC,P-Man,P・マン|Prehistorik Man,P-Man,primary_ascii,P・マン|Prehistorik Man
21890,Nintendo Super Famicom,SFC,Godzilla Kaijuu Dai Kessen,ゴジラ 怪獣大決戦,Godzilla Kaijuu Dai Kessen,primary_ascii,ゴジラ 怪獣大決戦
21895,Nintendo Super Famicom,SFC,Kamaitachi no Yoru,かまいたちの夜|Banshee's Last Cry,Kamaitachi no Yoru,primary_ascii,かまいたちの夜|Banshee's Last Cry
21898,Nintendo Super Famicom,SFC,Big Ichigeki! Pachislot Daikouryaku,ビッグ一撃！パチスロ大攻略,Big Ichigeki! Pachislot Daikouryaku,primary_ascii,ビッグ一撃！パチスロ大攻略
21902,Nintendo Super Famicom,SFC,Big Ichigeki! Pachislot Daikouryaku 2 Universal Collection,ビッグ一撃！パチスロ大攻略2 ユニバーサル・コレクション,Big Ichigeki! Pachislot Daikouryaku 2 Universal Collection,primary_ascii,ビッグ一撃！パチスロ大攻略2 ユニバーサル・コレクション
21904,Nintendo Super Famicom,SFC,Kat's Run Zennihon K Car Senshuken,キャッツ・ラン 全日本Kカー選手権,Kat's Run Zennihon K Car Senshuken,primary_ascii,キャッツ・ラン 全日本Kカー選手権
21905,Nintendo Super Famicom,SFC,Pro Mahjong Kiwame,プロ麻雀 極,Pro Mahjong Kiwame,primary_ascii,プロ麻雀 極
21906,Nintendo Super Famicom,SFC,Heiwa Pachinko World,平和 パチンコワールド,Heiwa Pachinko World,primary_ascii,平和 パチンコワールド
21908,Nintendo Super Famicom,SFC,Umi Tsuri Meijin Suzuki Hen,海釣り名人 スズキ編,Umi Tsuri Meijin Suzuki Hen,primary_ascii,海釣り名人 スズキ編
21910,Nintendo Super Famicom,SFC,Ushio to Tora,うしおととら,Ushio to Tora,primary_ascii,うしおととら
21913,Nintendo Super Famicom,SFC,Cacoma Knight,カコマ☆ナイト|Cacoma Knight in Bizyland,Cacoma Knight,primary_ascii,カコマ☆ナイト|Cacoma Knight in Bizyland
21949,Nintendo Super Famicom,SFC,Super Indy Champ,スーパーインディチャンプ,Super Indy Champ,primary_ascii,スーパーインディチャンプ
21950,Nintendo Super Famicom,SFC,Desert Fighter Suna no Arashi Sakusen,デザートファイター 砂の嵐作戦|A.S.P. Air Strike Patrol|Desert Fighter,Desert Fighter Suna no Arashi Sakusen,primary_ascii,デザートファイター 砂の嵐作戦|A.S.P. Air Strike Patrol|Desert Fighter
21951,Nintendo Super Famicom,SFC,Super Nichibutsu Mahjong 3 Yoshimoto Gekijyo Hen,スーパーニチブツマージャン3 吉本劇場篇,Super Nichibutsu Mahjong 3 Yoshimoto Gekijyo Hen,primary_ascii,スーパーニチブツマージャン3 吉本劇場篇
21952,Nintendo Super Famicom,SFC,Burai Hachigyoku no Yuushi Densetsu,ブライ 「八玉の勇士伝説」,Burai Hachigyoku no Yuushi Densetsu,primary_ascii,ブライ 「八玉の勇士伝説」
21953,Nintendo Super Famicom,SFC,Ultima Kyoryu Teikoku The Savage Empire,ウルティマ 恐竜帝国 ザ・サベージ・エンパイア|Worlds of Ultima The Savage Empire,Ultima Kyoryu Teikoku The Savage Empire,primary_ascii,ウルティマ 恐竜帝国 ザ・サベージ・エンパイア|Worlds of Ultima The Savage Empire
21954,Nintendo Super Famicom,SFC,Top Management II,トップマネジメントII|Top Management 2,Top Management II,primary_ascii,トップマネジメントII|Top Management 2
21955,Nintendo Super Famicom,SFC,Leading Jockey 2,リーディングジョッキー2,Leading Jockey 2,primary_ascii,リーディングジョッキー2
21956,Nintendo Super Famicom,SFC,Tecmo Super Bowl II Special Edition,テクモスーパーボウルII スペシャルエディション|Tecmo Super Bowl 2 Special Edition,Tecmo Super Bowl II Special Edition,primary_ascii,テクモスーパーボウルII スペシャルエディション|Tecmo Super Bowl 2 Special Edition
21957,Nintendo Super Famicom,SFC,Mazinger Z,マジンガーZ,Mazinger Z,primary_ascii,マジンガーZ
21958,Nintendo Super Famicom,SFC,Mickey & Minnie Magical Adventure 2 The Great Circus Mystery,ミッキーとミニー マジカルアドベンチャー2 The Great Circus Mystery|Disney's Magical Quest 2 The Great Circus Mystery Starring Mickey & Minnie|The Great Circus Mystery Starring Mickey & Minnie,Mickey & Minnie Magical Adventure 2 The Great Circus Mystery,primary_ascii,ミッキーとミニー マジカルアドベンチャー2 The Great Circus Mystery|Disney's Magical Quest 2 The Great Circus Mystery Starring Mickey & Minnie|The Great Circus Mystery Starring Mickey & Minnie
21962,Nintendo Super Famicom,SFC,Kikuni Masahiko no Jantoushi Dora Ou,喜国雅彦の雀闘士 銅鑼王,Kikuni Masahiko no Jantoushi Dora Ou,primary_ascii,喜国雅彦の雀闘士 銅鑼王
21967,Nintendo Super Famicom,SFC,Super Castles,スーパーキャッスルズ,Super Castles,primary_ascii,スーパーキャッスルズ
22092,Nintendo Super Famicom,SFC,Sanrio World Smash Ball,サンリオワールド スマッシュボール,Sanrio World Smash Ball,primary_ascii,サンリオワールド スマッシュボール
22183,Nintendo Super Famicom,SFC,World Class Rugby 2 Kokunai Gekitou Hen '93,ワールドクラス ラグビー2 国内激闘編'93,World Class Rugby 2 Kokunai Gekitou Hen '93,primary_ascii,ワールドクラス ラグビー2 国内激闘編'93
22185,Nintendo Super Famicom,SFC,SD Gundam Gaiden 2 Entaku no Kishi,SDガンダム外伝2 円卓の騎士,SD Gundam Gaiden 2 Entaku no Kishi,primary_ascii,SDガンダム外伝2 円卓の騎士
22189,Nintendo Super Famicom,SFC,Super Slap Shot,スーパースラップショット,Super Slap Shot,primary_ascii,スーパースラップショット
22192,Nintendo Super Famicom,SFC,Magna Braban Henreki no Yusha,マグナブラバン〜遍歴の勇者,Magna Braban Henreki no Yusha,primary_ascii,マグナブラバン〜遍歴の勇者
22196,Nintendo Super Famicom,SFC,Donkey Kong Country 2 Dixie & Diddy,スーパードンキーコング2 ディクシー ＆ ディディー|Donkey Kong Country 2 Diddy's Kong Quest,Donkey Kong Country 2 Dixie & Diddy,primary_ascii,スーパードンキーコング2 ディクシー ＆ ディディー|Donkey Kong Country 2 Diddy's Kong Quest
22197,Nintendo Super Famicom,SFC,Shichuusui Meigaku Nyuumon Shin Tougenkyou,四柱推命学入門 真桃源郷,Shichuusui Meigaku Nyuumon Shin Tougenkyou,primary_ascii,四柱推命学入門 真桃源郷
22198,Nintendo Super Famicom,SFC,Hana no Keiji Kumo no Kanata ni,花の慶次 -雲のかなたに-,Hana no Keiji Kumo no Kanata ni,primary_ascii,花の慶次 -雲のかなたに-
22199,Nintendo Super Famicom,SFC,Super Nichibutsu Mahjong,スーパーニチブツマージャン,Super Nichibutsu Mahjong,primary_ascii,スーパーニチブツマージャン
22223,Nintendo Super Famicom,SFC,Super Nichibutsu Mahjong 4 Kiso Kenkyu Hen,スーパーニチブツマージャン4 基礎研究篇,Super Nichibutsu Mahjong 4 Kiso Kenkyu Hen,primary_ascii,スーパーニチブツマージャン4 基礎研究篇
22315,Nintendo Super Famicom,SFC,Beware the Ultimate Evil of Warlock,Beware the Ultimate Evil of ウォーロック,Beware the Ultimate Evil of Warlock,primary_ascii,Beware the Ultimate Evil of ウォーロック
22318,Nintendo Super Famicom,SFC,Super Nichibutsu Mahjong 2 Zenkoku Seiha Hen,スーパーニチブツマージャン2 全国制覇篇,Super Nichibutsu Mahjong 2 Zenkoku Seiha Hen,primary_ascii,スーパーニチブツマージャン2 全国制覇篇
22325,Nintendo Super Famicom,SFC,SimAnt,シムアント|SimAnt The Electronic Ant Colony|Sim Ant,SimAnt,primary_ascii,シムアント|SimAnt The Electronic Ant Colony|Sim Ant
22329,Nintendo Super Famicom,SFC,Taekwon-Do,テコンドー|跆拳道|Taekwon-Do,Taekwon-Do,primary_ascii,テコンドー|跆拳道
22330,Nintendo Super Famicom,SFC,Nomark Baku Haitou Shijou Saikyou no Jakushi Tatsu,ノーマーク爆牌党 史上最強の雀士達,Nomark Baku Haitou Shijou Saikyou no Jakushi Tatsu,primary_ascii,ノーマーク爆牌党 史上最強の雀士達
22337,Nintendo Super Famicom,SFC,Sangokushi IV,三国志IV|Sangokushi 4|Romance of the Three Kingdoms IV Wall of Fire,Sangokushi IV,primary_ascii,三国志IV|Sangokushi 4|Romance of the Three Kingdoms IV Wall of Fire
22338,Nintendo Super Famicom,SFC,Blackthorne Fukushuu no Kuroki Kyoku,ブラックソーン 復讐の黒き棘,Blackthorne Fukushuu no Kuroki Kyoku,primary_ascii,ブラックソーン 復讐の黒き棘
22343,Nintendo Super Famicom,SFC,Sprinter Monogatari Mezase!! Ikkaku Senkin,スプリンター物語 〜めざせ！！一攫千金〜,Sprinter Monogatari Mezase!! Ikkaku Senkin,primary_ascii,スプリンター物語 〜めざせ！！一攫千金〜
22349,Nintendo Super Famicom,SFC,Sugoro Quest++ Dicenics,すごろクエスト＋＋ −ダイスニクス−,Sugoro Quest++ Dicenics,primary_ascii,すごろクエスト＋＋ −ダイスニクス−
22375,Nintendo Super Famicom,SFC,Super Baken Ou '95,スーパー馬券王'95,Super Baken Ou '95,primary_ascii,スーパー馬券王'95
22377,Nintendo Super Famicom,SFC,Waku Waku Ski Wonder Spur,わくわくスキー わんだぁシュプール,Waku Waku Ski Wonder Spur,primary_ascii,わくわくスキー わんだぁシュプール
22396,Nintendo Super Famicom,SFC,World Cup USA 94,ワールドカップUSA94|World Cup USA '94,World Cup USA 94,primary_ascii,ワールドカップUSA94|World Cup USA '94
22397,Nintendo Super Famicom,SFC,Looney Toons Bugs Bunny Hachamecha Daibouken,ルーニー・テューンズ バックス・バニー はちゃめちゃ大冒険|Bugs Bunny Rabbit Rampage,Looney Toons Bugs Bunny Hachamecha Daibouken,primary_ascii,ルーニー・テューンズ バックス・バニー はちゃめちゃ大冒険|Bugs Bunny Rabbit Rampage
22398,Nintendo Super Famicom,SFC,Holy Striker,ホーリーストライカー,Holy Striker,primary_ascii,ホーリーストライカー
22399,Nintendo Super Famicom,SFC,Shinri Game 3,ザ・心理ゲーム3,Shinri Game 3,primary_ascii,ザ・心理ゲーム3
22408,Nintendo Super Famicom,SFC,Shin Nippon Pro Wrestling '94 Battlefield in Toukyou Doumu,新日本プロレスリング '94 バトルフィールド 闘強導夢|Shin Nippon Pro Wrestling '94 Battlefield in Tokyo Dome,Shin Nippon Pro Wrestling '94 Battlefield in Toukyou Doumu,primary_ascii,新日本プロレスリング '94 バトルフィールド 闘強導夢|Shin Nippon Pro Wrestling '94 Battlefield in Tokyo Dome
22410,Nintendo Super Famicom,SFC,Front Mission,フロントミッション,Front Mission,primary_ascii,フロントミッション
22438,Nintendo Super Famicom,SFC,Oda Nobunaga Haou no Gundan,織田信長 覇王の軍団,Oda Nobunaga Haou no Gundan,primary_ascii,織田信長 覇王の軍団
22443,Nintendo Super Famicom,SFC,SD Hiryuu no Ken,SD飛龍の拳,SD Hiryuu no Ken,primary_ascii,SD飛龍の拳
22446,Nintendo Super Famicom,SFC,NFL Quarterback Club '95,NFLクォーターバッククラブ'95,NFL Quarterback Club '95,primary_ascii,NFLクォーターバッククラブ'95
22448,Nintendo Super Famicom,SFC,Estpolis Denki II,エストポリス伝記II|Lufia II Rise of the Sinistral|Lufia,Estpolis Denki II,primary_ascii,エストポリス伝記II|Lufia II Rise of the Sinistral|Lufia
22451,Nintendo Super Famicom,SFC,Brandish 2 The Planet Buster,ブランディッシュ2 ザ・プラネット・バスター,Brandish 2 The Planet Buster,primary_ascii,ブランディッシュ2 ザ・プラネット・バスター
22461,Nintendo Super Famicom,SFC,Planet's Champ TG3000,プラネットチャンプTG3000|Top Gear 3000,Planet's Champ TG3000,primary_ascii,プラネットチャンプTG3000|Top Gear 3000
22462,Nintendo Super Famicom,SFC,Farland Story,ファーランドストーリー,Farland Story,primary_ascii,ファーランドストーリー
22464,Nintendo Super Famicom,SFC,Mahoujin Guru Guru,魔法陣グルグル,Mahoujin Guru Guru,primary_ascii,魔法陣グルグル
22470,Nintendo Super Famicom,SFC,Eien no Filena,永遠のフィレーナ|Eternal Filena,Eien no Filena,primary_ascii,永遠のフィレーナ|Eternal Filena
22474,Nintendo Super Famicom,SFC,Hanafuda Ou,花札王,Hanafuda Ou,primary_ascii,花札王
22645,Nintendo Super Famicom,SFC,Nekketsu Tairiku Burning Heroes,熱血大陸 バーニング ヒーローズ,Nekketsu Tairiku Burning Heroes,primary_ascii,熱血大陸 バーニング ヒーローズ
22854,Nintendo Super Famicom,SFC,Shigetaka Kashiwagi no Top Water Bassing,柏木重孝の トップ ウォーター バッシング,Shigetaka Kashiwagi no Top Water Bassing,primary_ascii,柏木重孝の トップ ウォーター バッシング
22857,Nintendo Super Famicom,SFC,Miracle Casino Paradise,みらくるカジノパラダイス,Miracle Casino Paradise,primary_ascii,みらくるカジノパラダイス
22859,Nintendo Super Famicom,SFC,3 Jigen Kakutou Ballz,3次元格闘ボールズ|Ballz 3D Battle of the Ballz,3 Jigen Kakutou Ballz,primary_ascii,3次元格闘ボールズ|Ballz 3D Battle of the Ballz
22861,Nintendo Super Famicom,SFC,Battle Pinball,バトルピンボール,Battle Pinball,primary_ascii,バトルピンボール
22865,Nintendo Super Famicom,SFC,Kakinoki Shougi,柿木将棋,Kakinoki Shougi,primary_ascii,柿木将棋
22871,Nintendo Super Famicom,SFC,Gourmet Sentai Bara Yarou,美食戦隊 薔薇野郎|ぐるめせんたい ばらやろう|Gourmet Warriors,Gourmet Sentai Bara Yarou,primary_ascii,美食戦隊 薔薇野郎|ぐるめせんたい ばらやろう|Gourmet Warriors
22877,Nintendo Super Famicom,SFC,La Wares,真・聖刻|ラ・ワース,La Wares,primary_ascii,真・聖刻|ラ・ワース
22881,Nintendo Super Famicom,SFC,Shanghai III,上海III|Shanghai 3,Shanghai III,primary_ascii,上海III|Shanghai 3
22885,Nintendo Super Famicom,SFC,Crystal Beans From Dungeon Explorer,クリスタルビーンズ フロムダンジョンエクスプローラ,Crystal Beans From Dungeon Explorer,primary_ascii,クリスタルビーンズ フロムダンジョンエクスプローラ
22888,Nintendo Super Famicom,SFC,Mickey & Donald Magical Adventure 3,ミッキーとドナルド マジカルアドベンチャー3,Mickey & Donald Magical Adventure 3,primary_ascii,ミッキーとドナルド マジカルアドベンチャー3
22920,Nintendo Super Famicom,SFC,Clock Tower,クロックタワー,Clock Tower,primary_ascii,クロックタワー
22923,Nintendo Super Famicom,SFC,Dragon Quest VI Maboroshi no Daichi,ドラゴンクエストVI 幻の大地|Dragon Quest VI Realms of Revelation|Dragon Quest VI Realms of Reverie|Dragon Quest 6,Dragon Quest VI Maboroshi no Daichi,primary_ascii,ドラゴンクエストVI 幻の大地|Dragon Quest VI Realms of Revelation|Dragon Quest VI Realms of Reverie|Dragon Quest 6
22924,Nintendo Super Famicom,SFC,Trump Island,トランプアイランド,Trump Island,primary_ascii,トランプアイランド
22925,Nintendo Super Famicom,SFC,Mr. Nutz,ミスターナッツ,Mr. Nutz,primary_ascii,ミスターナッツ
22926,Nintendo Super Famicom,SFC,Habu Meijin no Omoshiro Shougi,羽生名人のおもしろ将棋,Habu Meijin no Omoshiro Shougi,primary_ascii,羽生名人のおもしろ将棋
22927,Nintendo Super Famicom,SFC,Viking no Daimeiwaku,バイキングの大迷惑|The Lost Vikings,Viking no Daimeiwaku,primary_ascii,バイキングの大迷惑|The Lost Vikings
22928,Nintendo Super Famicom,SFC,V.W Verne World,V.W. ヴェルヌワールド,V.W Verne World,primary_ascii,V.W. ヴェルヌワールド
22931,Nintendo Super Famicom,SFC,Tenchi Souzou,天地創造|Terranigma,Tenchi Souzou,primary_ascii,天地創造|Terranigma
22935,Nintendo Super Famicom,SFC,Dekitate High School,できたてハイスクール,Dekitate High School,primary_ascii,できたてハイスクール
22938,Nintendo Super Famicom,SFC,Kindai Mahjong Special,近代麻雀スペシャル,Kindai Mahjong Special,primary_ascii,近代麻雀スペシャル
22939,Nintendo Super Famicom,SFC,Honke Sankyo Fever Jikki Simulation,本家SANKYO FEVER 実機シミュレーション,Honke Sankyo Fever Jikki Simulation,primary_ascii,本家SANKYO FEVER 実機シミュレーション
23131,Nintendo Super Famicom,SFC,Kabuki Rocks,カブキロックス,Kabuki Rocks,primary_ascii,カブキロックス
23132,Nintendo Super Famicom,SFC,Bahamut Lagoon,バハムート ラグーン,Bahamut Lagoon,primary_ascii,バハムート ラグーン
23133,Nintendo Super Famicom,SFC,Magical Drop,マジカルドロップ,Magical Drop,primary_ascii,マジカルドロップ
23134,Nintendo Super Famicom,SFC,Monopoly Game 2,ザ・モノポリーゲーム2,Monopoly Game 2,primary_ascii,ザ・モノポリーゲーム2
23135,Nintendo Super Famicom,SFC,Aretha Gaiden Rejoice Aretha Oukoku no Kanata,アレサ外伝 リジョイス アレサ王国の彼方,Aretha Gaiden Rejoice Aretha Oukoku no Kanata,primary_ascii,アレサ外伝 リジョイス アレサ王国の彼方
23136,Nintendo Super Famicom,SFC,Nage Libre Seijaku no Suishin,ナージュリーブル 〜静寂の水深〜,Nage Libre Seijaku no Suishin,primary_ascii,ナージュリーブル 〜静寂の水深〜
23137,Nintendo Super Famicom,SFC,RPG Tsukuru Super Dante,RPGツクール スーパーダンテ,RPG Tsukuru Super Dante,primary_ascii,RPGツクール スーパーダンテ
23138,Nintendo Super Famicom,SFC,Miyaji Shachou no Pachinko Fan Shouri Sengen 2,宮路社長のパチンコファン勝利宣言2,Miyaji Shachou no Pachinko Fan Shouri Sengen 2,primary_ascii,宮路社長のパチンコファン勝利宣言2
23139,Nintendo Super Famicom,SFC,Super Air Diver 2,スーパーエアダイバー2,Super Air Diver 2,primary_ascii,スーパーエアダイバー2
23140,Nintendo Super Famicom,SFC,Appleseed Prometheus no Shintaku,アップルシード プロメテウスの神託,Appleseed Prometheus no Shintaku,primary_ascii,アップルシード プロメテウスの神託
23141,Nintendo Super Famicom,SFC,Super Tekkyuu Fight!,スーパー鉄球ファイト！,Super Tekkyuu Fight!,primary_ascii,スーパー鉄球ファイト！
23142,Nintendo Super Famicom,SFC,Princess Minerva,プリンセス・ミネルバ,Princess Minerva,primary_ascii,プリンセス・ミネルバ
23143,Nintendo Super Famicom,SFC,Natsuki Crisis Battle,なつきクライシスバトル,Natsuki Crisis Battle,primary_ascii,なつきクライシスバトル
23144,Nintendo Super Famicom,SFC,Gamera Gyaosu Gekimetsu Sakusen,ガメラ ギャオス撃滅作戦,Gamera Gyaosu Gekimetsu Sakusen,primary_ascii,ガメラ ギャオス撃滅作戦
23145,Nintendo Super Famicom,SFC,Yuu Yuu Hakusho Final Makai Saikyou Retsuden,幽☆遊☆白書 FINAL(ファイナル) 魔界最強列伝,Yuu Yuu Hakusho Final Makai Saikyou Retsuden,primary_ascii,幽☆遊☆白書 FINAL(ファイナル) 魔界最強列伝
23146,Nintendo Super Famicom,SFC,Ultra League Moero! Soccer Daikessen!,ウルトラリーグ 燃えろ！サッカー大決戦！,Ultra League Moero! Soccer Daikessen!,primary_ascii,ウルトラリーグ 燃えろ！サッカー大決戦！
23147,Nintendo Super Famicom,SFC,Take Yutaka GI Memory,武豊GIメモリー,Take Yutaka GI Memory,primary_ascii,武豊GIメモリー
23148,Nintendo Super Famicom,SFC,Dun Quest Majin Fuuin no Densetsu,ダンクエスト 魔人封印の伝説,Dun Quest Majin Fuuin no Densetsu,primary_ascii,ダンクエスト 魔人封印の伝説
23149,Nintendo Super Famicom,SFC,Dragon Ball Z Super Gokuu Den Totsugeki Hen,ドラゴンボールZ 超悟空伝 突撃編,Dragon Ball Z Super Gokuu Den Totsugeki Hen,primary_ascii,ドラゴンボールZ 超悟空伝 突撃編
23150,Nintendo Super Famicom,SFC,Caravan Shooting Collection,キャラバン シューティングコレクション,Caravan Shooting Collection,primary_ascii,キャラバン シューティングコレクション
23153,Nintendo Super Famicom,SFC,Der Langrisser,デア ラングリッサー,Der Langrisser,primary_ascii,デア ラングリッサー
23155,Nintendo Super Famicom,SFC,Inazuma Serve da!! Super Beach Volley,稲妻サーブだ！！ スーパービーチバレー,Inazuma Serve da!! Super Beach Volley,primary_ascii,稲妻サーブだ！！ スーパービーチバレー
23158,Nintendo Super Famicom,SFC,Jissen Kyoutei,実戦競艇,Jissen Kyoutei,primary_ascii,実戦競艇
23160,Nintendo Super Famicom,SFC,Nichibutsu Arcade Classics,ニチブツ アーケード クラシックス,Nichibutsu Arcade Classics,primary_ascii,ニチブツ アーケード クラシックス
23162,Nintendo Super Famicom,SFC,Magic Knight Rayearth Mahou Kishi,マジックナイト レイアース 魔法騎士,Magic Knight Rayearth Mahou Kishi,primary_ascii,マジックナイト レイアース 魔法騎士
23164,Nintendo Super Famicom,SFC,Super Fishing Bigfight,スーパーフィッシング ビッグファイト|Super Fishing Big Fight,Super Fishing Bigfight,primary_ascii,スーパーフィッシング ビッグファイト|Super Fishing Big Fight
23166,Nintendo Super Famicom,SFC,Timecop,タイムコップ,Timecop,primary_ascii,タイムコップ
23167,Nintendo Super Famicom,SFC,Zenkoku Koukou Soccer,全国高校サッカー,Zenkoku Koukou Soccer,primary_ascii,全国高校サッカー
23168,Nintendo Super Famicom,SFC,Super Momotarou Dentetsu 3,スーパー桃太郎電鉄III全国高校サッカー,Super Momotarou Dentetsu 3,primary_ascii,スーパー桃太郎電鉄III全国高校サッカー
23169,Nintendo Super Famicom,SFC,Goofy to Max Kaizoku Shima no Daibouken,グーフィーとマックス 海賊島の大冒険|Disney's Goof Troop,Goofy to Max Kaizoku Shima no Daibouken,primary_ascii,グーフィーとマックス 海賊島の大冒険|Disney's Goof Troop
23170,Nintendo Super Famicom,SFC,SimCity 2000,シムシティ2000,SimCity 2000,primary_ascii,シムシティ2000
23171,Nintendo Super Famicom,SFC,Youkai Buster Ruka no Daibouken,妖怪バスター ルカの大冒険,Youkai Buster Ruka no Daibouken,primary_ascii,妖怪バスター ルカの大冒険
23172,Nintendo Super Famicom,SFC,Metal Max Returns,メタルマックスリターンズ,Metal Max Returns,primary_ascii,メタルマックスリターンズ
