object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
20285,Europe Sensen;ヨーロッパ戦線;Operation Europe Path to Victory,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Europe Sensen,ヨーロッパ戦線|Operation Europe Path to Victory,
20286,Daisenryaku Expert;大戦略エキスパート;Great Strategy Expert,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Daisenryaku Expert,大戦略エキスパート|Great Strategy Expert,guide
20287,Pro Football;プロフットボール;John Madden Football,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Pro Football,プロフットボール|John Madden Football,
20288,Dungeon Master;ダンジョンマスター,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Dungeon Master,ダンジョンマスター,
20289,Dream Maze Yume Meikyuu Kigurumi Daibouken;どりいむめいず 夢迷宮きぐるみ大冒険,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Dream Maze Yume Meikyuu Kigurumi Daibouken,どりいむめいず 夢迷宮きぐるみ大冒険,
20290,Super Hanafuda;スーパー花札,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Hanafuda,スーパー花札,
20359,Taikyoku Igo Goliath;対局囲碁ゴライアス,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Taikyoku Igo Goliath,対局囲碁ゴライアス,
20363,Tecmo Super NBA Basketball;テクモスーパーNBAバスケットボール,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Tecmo Super NBA Basketball,テクモスーパーNBAバスケットボール,
20371,Accele Brid;アクセルブリッド,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Accele Brid,アクセルブリッド,
20375,Trinea;トリネア,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Trinea,トリネア,
20384,Takeda Nobuhiro no Super League Soccer;武田修宏のスーパーリーグサッカー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Takeda Nobuhiro no Super League Soccer,武田修宏のスーパーリーグサッカー,
20391,NBA Pro Basketball '94 Bulls vs Suns;NBAプロバスケットボール'94 ブルズVSサンズ;NBA Showdown,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,NBA Pro Basketball '94 Bulls vs Suns,NBAプロバスケットボール'94 ブルズVSサンズ|NBA Showdown,
20397,FIFA International Soccer;FIFA インターナショナル・サッカー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,FIFA International Soccer,FIFA インターナショナル・サッカー,
20403,The Pink Panther;ザピンクパンサー;Pink Goes to Hollywood;The Pink Panther in Pink Goes to Hollywood,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,The Pink Panther,ザピンクパンサー|Pink Goes to Hollywood|The Pink Panther in Pink Goes to Hollywood,
20405,Araiguma Rascal;あらいぐまラスカル;Rascal the Raccoon,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Araiguma Rascal,あらいぐまラスカル|Rascal the Raccoon,
20521,2020 Nen Super Baseball;2020年スーパーベースボール;Super Baseball 2020,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,2020 Nen Super Baseball,2020年スーパーベースボール|Super Baseball 2020,
20523,Lennus Kodai Kikai no Kioku;レナス 古代機械の記憶;Paladin's Quest,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Lennus Kodai Kikai no Kioku,レナス 古代機械の記憶|Paladin's Quest,
20525,Dimension Force;ディメンションフォース;D-Force,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Dimension Force,ディメンションフォース|D-Force,
20528,Battle Dodgeball;バトルドッジボール,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Battle Dodgeball,バトルドッジボール,
20532,J.League Super Soccer '95 Jikkyou Stadium;Jリーグスーパーサッカー'95 実況スタジアム,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,J.League Super Soccer '95 Jikkyou Stadium,Jリーグスーパーサッカー'95 実況スタジアム,
20535,Leading Company;リーディングカンパニー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Leading Company,リーディングカンパニー,
20541,SimEarth The Living Planet;シムアース The Living Planet,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,SimEarth The Living Planet,シムアース The Living Planet,
20544,Makeruna! Makendou;負けるな!魔剣道;Kendo Rage,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Makeruna! Makendou,負けるな!魔剣道|Kendo Rage,
20547,Exhaust Heat II;エキゾースト・ヒートII;F1-ROC II Race of Champions,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Exhaust Heat II,エキゾースト・ヒートII|F1-ROC II Race of Champions,
20548,Hourai Gakuen no Bouken! Tenkousei Scramble;蓬莱学園の冒険！転校生スクランブル;The Adventure of Hourai High School,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Hourai Gakuen no Bouken! Tenkousei Scramble,蓬莱学園の冒険！転校生スクランブル|The Adventure of Hourai High School,
20563,Yokoyama Mitsuteru Sangokushi;横山光輝三国志,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Yokoyama Mitsuteru Sangokushi,横山光輝三国志,
20564,Kikou Keisatsu Metal Jack;機甲警察メタルジャック;Armored Police Metal Jack,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Kikou Keisatsu Metal Jack,機甲警察メタルジャック|Armored Police Metal Jack,
20566,NHL Pro Hockey '94;NHLプロホッケー'94;NHL '94,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,NHL Pro Hockey '94,NHLプロホッケー'94|NHL '94,
20567,Air Management II Koukuu Ou o Mezase;エアーマネジメントII 航空王をめざせ;Aerobiz Supersonic,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Air Management II Koukuu Ou o Mezase,エアーマネジメントII 航空王をめざせ|Aerobiz Supersonic,
20568,Heisei Shin Oni Ga Shima Kouhen;平成 新・鬼ヶ島 後編;Heisei Shin Oni Ga Shima Part 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Heisei Shin Oni Ga Shima Kouhen,平成 新・鬼ヶ島 後編|Heisei Shin Oni Ga Shima Part 2,
20569,Final Fantasy IV Easy Type;ファイナルファンタジーIV イージータイプ;Final Fantasy II,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Final Fantasy IV Easy Type,ファイナルファンタジーIV イージータイプ|Final Fantasy II,
20570,Super Fire Pro Wrestling;スーパーファイヤープロレスリング,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Fire Pro Wrestling,スーパーファイヤープロレスリング,
20571,Super Dunk Shot;スーパーダンクショット;NCAA Basketball;World League Basketball,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Super Dunk Shot,スーパーダンクショット|NCAA Basketball|World League Basketball,
20572,Gdleen;ガデュリン;Gadurin;Gadyurin;GD Leen,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Gdleen,ガデュリン|Gadurin|Gadyurin|GD Leen,
20578,F-1 Grand Prix Part II;F-1 グランプリ パート Part II;F-1 Grand Prix Part 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,F-1 Grand Prix Part II,F-1 グランプリ パート Part II|F-1 Grand Prix Part 2,
20580,Takemiya Masaki Kudan no Igo Taishou;武宮正樹九段の囲碁大将,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Takemiya Masaki Kudan no Igo Taishou,武宮正樹九段の囲碁大将,
20583,Harapeko Bakka;はらぺこバッカ;Hungry Dinosaurs,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Harapeko Bakka,はらぺこバッカ|Hungry Dinosaurs,
20585,Super Dunk Star;スーパーダンクスター,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Dunk Star,スーパーダンクスター,
20592,Zico Soccer;ジーコ サッカー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Zico Soccer,ジーコ サッカー,
20594,The Combatribes;ザ・コンバットライブス,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,The Combatribes,ザ・コンバットライブス,
20596,Wondrous Magic;ワンダラスマジック,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Wondrous Magic,ワンダラスマジック,
20613,Super Koukou Yakyuu Ichikyuu Jikkon;スーパー高校野球 一球入魂;Super Koukou Baseball Ichikyuu Jikkon,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Koukou Yakyuu Ichikyuu Jikkon,スーパー高校野球 一球入魂|Super Koukou Baseball Ichikyuu Jikkon,
20616,Dark Kingdom;ダークキングダム,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Dark Kingdom,ダークキングダム,
20620,Taiketsu!! Brass Numbers;対決！！ブラスナンバーズ;Doomsday Warrior,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Taiketsu!! Brass Numbers,対決！！ブラスナンバーズ|Doomsday Warrior,
20691,Hebereke no Popuun;へべれけのぽぷーん;Hebereke's Popoon,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Hebereke no Popuun,へべれけのぽぷーん|Hebereke's Popoon,
20702,Magic Johnson no Super Slam Dunk;マジックジョンソンのノスーパースラムダンク;Super Slam Dunk,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Magic Johnson no Super Slam Dunk,マジックジョンソンのノスーパースラムダンク|Super Slam Dunk,
20703,Bishin Densetsu Zoku;美神伝説 Ｚｏｋｕ;Zoku The Legend of Bishin,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Bishin Densetsu Zoku,美神伝説 Ｚｏｋｕ|Zoku The Legend of Bishin,
20706,Derby Stallion II;ダービースタリオンII,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Derby Stallion II,ダービースタリオンII,
20708,Virtual Bart;バーチャルバート,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Virtual Bart,バーチャルバート,
20726,Ultra Baseball Jitsumei Ban 2;ウルトラベースボール実名版2,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Ultra Baseball Jitsumei Ban 2,ウルトラベースボール実名版2,
20863,Super Soukoban;スーパー倉庫番;Super Sokoban,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Soukoban,スーパー倉庫番|Super Sokoban,
20869,Super Loopz;スーパーループス,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Loopz,スーパーループス,
20874,Pachi Slot Kenkyuu;パチスロ 研究,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Pachi Slot Kenkyuu,パチスロ 研究,
20878,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!;美少女レスラー列伝ブリザードYuki乱入!!,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!,美少女レスラー列伝ブリザードYuki乱入!!,
20880,Nigel Mansell's F-1 Challenge;ナイジェル・マンセル Ｆ１チャレンジ;Nigel Mansell's World Championship Racing;Nigel Mansell's World Championship,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Nigel Mansell's F-1 Challenge,ナイジェル・マンセル Ｆ１チャレンジ|Nigel Mansell's World Championship Racing|Nigel Mansell's World Championship,
20881,Tetris Flash;テトリスフラッシュ;Tetris 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Tetris Flash,テトリスフラッシュ|Tetris 2,
20882,Septentrion;セプテントリオン;SOS,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Septentrion,セプテントリオン|SOS,
20883,The Shinri Game Akuma no Kokoroji;The 心理ゲーム 悪魔のココロジー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,The Shinri Game Akuma no Kokoroji,The 心理ゲーム 悪魔のココロジー,
20884,Itou Hate Rokudan no Shougi Doujou;伊藤果六段の将棋道場,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Itou Hate Rokudan no Shougi Doujou,伊藤果六段の将棋道場,
20885,Bastard!! Ankoku no Hakaishin;バスタード!! -暗黒の破壊神-,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Bastard!! Ankoku no Hakaishin,バスタード!! -暗黒の破壊神-,
20886,Super Family Tennis;スーパーファミリーテニス;Smash Tennis,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Family Tennis,スーパーファミリーテニス|Smash Tennis,
20887,Ranma ½ Bakuretsu Rantouhen;らんま1/2 爆烈乱闘篇;Ranma ½ Hard Battle,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Ranma ½ Bakuretsu Rantouhen,らんま1/2 爆烈乱闘篇|Ranma ½ Hard Battle,
20888,R.P.M.Racing;アールピーエムレーシング;RPM Racing;Radical Psycho Machine Racing,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,R.P.M.Racing,アールピーエムレーシング|RPM Racing|Radical Psycho Machine Racing,
20889,Fighting Baseball;ファイティングベースボール;MLBPA Baseball,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Fighting Baseball,ファイティングベースボール|MLBPA Baseball,
20890,Utopia;ユートピア;Utopia The Creation of a Nation,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Utopia,ユートピア|Utopia The Creation of a Nation,
20891,Metal Max 2;メタルマックス2,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Metal Max 2,メタルマックス2,
20892,Pinball Pinball;ピンボール ピンボール;Pinball Dreams,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Pinball Pinball,ピンボール ピンボール|Pinball Dreams,
20893,NBA All-Star Challenge;NBAオールスターチャレンジ,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,NBA All-Star Challenge,NBAオールスターチャレンジ,
21054,Kabuki Chou Reach Mahjong Toupuusen;歌舞伎町 リーチ麻雀 東風戦,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Kabuki Chou Reach Mahjong Toupuusen,歌舞伎町 リーチ麻雀 東風戦,
21055,Ikari no Yousai;怒りの要塞;Operation Logic Bomb The Ultimate Search & Destroy,Game Title Alternative;Game Title;,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Ikari no Yousai,怒りの要塞|Operation Logic Bomb The Ultimate Search & Destroy,
21056,Yuujin Janjuu Gakuen;遊人 雀獣学園,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Yuujin Janjuu Gakuen,遊人 雀獣学園,
21057,Thunderbirds Kokusai Kyuujotai Juudou Seyo!!;サンダーバード 国際救助隊出撃せよ！！;Gerry Anderson's Thunderbirds,Game Title Alternative;Game Title;,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Thunderbirds Kokusai Kyuujotai Juudou Seyo!!,サンダーバード 国際救助隊出撃せよ！！|Gerry Anderson's Thunderbirds,
21058,Koutetsu no Kishi 2 Sabaku no Rommel Shougun;鋼鉄の騎士2 砂漠のロンメル軍団,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Koutetsu no Kishi 2 Sabaku no Rommel Shougun,鋼鉄の騎士2 砂漠のロンメル軍団,
21067,Kunio no Oden;くにおのおでん,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Kunio no Oden,くにおのおでん,
21068,Battle Zeque Den;バトル ゼクウ 伝;バトル Zeque 伝,Game Title Alternative;Game Title;,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Battle Zeque Den,バトル ゼクウ 伝|バトル Zeque 伝,
21069,Hisshou 777 Fighter III Kokuryuu Ou no Fukkatsu;必勝777 FIGHTER III 黒竜王の復活,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Hisshou 777 Fighter III Kokuryuu Ou no Fukkatsu,必勝777 FIGHTER III 黒竜王の復活,
21088,Super Uno;スーパーUNO,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Uno,スーパーUNO,
21093,World Heroes 2;ワールドヒーローズ2,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,World Heroes 2,ワールドヒーローズ2,
21095,Space Bazooka;スペースバズーカ;Battle Clash,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Space Bazooka,スペースバズーカ|Battle Clash,
21102,Super Puyo Puyo;す〜ぱ〜ぷよぷよ;Kirby's Avalanche;Kirby's Ghost Trap,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Super Puyo Puyo,す〜ぱ〜ぷよぷよ|Kirby's Avalanche|Kirby's Ghost Trap,soundtrack
21105,Keiba Eight 8 Special Hi Baken Kounyuu Jutsu;競馬エイト8スペシャル 秘 馬券購入術,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Keiba Eight 8 Special Hi Baken Kounyuu Jutsu,競馬エイト8スペシャル 秘 馬券購入術,
21108,Tom to Jerry;トムとジェリー;Tom and Jerry;Tom & Jerry,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Tom to Jerry,トムとジェリー|Tom and Jerry|Tom & Jerry,
21110,Xak The Art of Visual Stage;サーク The Art of Visual Stage,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Xak The Art of Visual Stage,サーク The Art of Visual Stage,
21112,Dai Bakushou Jinsei Gekijou Dokidoki Seishun Hen;大爆笑 人生劇場 〜ドキドキ青春編〜,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Dai Bakushou Jinsei Gekijou Dokidoki Seishun Hen,大爆笑 人生劇場 〜ドキドキ青春編〜,
21116,Super Battletank;スーパーバトルタンク;Garry Kitchen's Super Battletank War in the Gulf,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Battletank,スーパーバトルタンク|Garry Kitchen's Super Battletank War in the Gulf,
21117,Jigsaw Party;ジグソーパ〜ティ〜;Pieces ,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Jigsaw Party,ジグソーパ〜ティ〜|Pieces,
21123,Fire Pro Joshi All Star Dream Slam;ファイプロ女子 オールスタードリームスラム,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Fire Pro Joshi All Star Dream Slam,ファイプロ女子 オールスタードリームスラム,
21125,Andre Agassi Tennis;アンドレ・アガシ テニス,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Andre Agassi Tennis,アンドレ・アガシ テニス,
21137,Ganbare Daiku no Gensan;がんばれ！大工の源さん;Hammerin' Harry (series),Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Ganbare Daiku no Gensan,がんばれ！大工の源さん|Hammerin' Harry (series),
21138,NBA Pro Basketball Bulls vs Blazers;NBAプロバスケットボール ブルズVSブレイザーズ,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,NBA Pro Basketball Bulls vs Blazers,NBAプロバスケットボール ブルズVSブレイザーズ,
21139,Pachislot Land Pachi Pachi Coin no Densetsu;パチスロランド ぱちぱちコインの伝説,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Pachislot Land Pachi Pachi Coin no Densetsu,パチスロランド ぱちぱちコインの伝説,
21140,Battle Soccer Field no Hasha;バトルサッカー フィールドの覇者,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Battle Soccer Field no Hasha,バトルサッカー フィールドの覇者,
21141,Pachiokun Special;パチ夫くん スペシャル,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Pachiokun Special,パチ夫くん スペシャル,
21142,Yu Yu Hakusho;幽☆遊☆白書;幽遊白書,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Yu Yu Hakusho,幽☆遊☆白書|幽遊白書,
21143,Majin Tensei;魔神転生,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Majin Tensei,魔神転生,
