object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
9007,Chou Makai Taisen! Dorabocchan;超魔界大戦! どらぼっちゃん;Chou Makai Taisen! Dorabot-chan;Chou Makai Taisen! Doraboc Chan;Chou Makai Taisen! Dorabotchan,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Chou Makai Taisen! Dorabocchan,超魔界大戦! どらぼっちゃん|Chou Makai Taisen! Dorabot-chan|Chou Makai Taisen! Doraboc Chan|Chou Makai Taisen! Dorabotchan,
9008,Dragon Ball Z Super Saiya Densetsu;ドラゴンボールZ スーパー超サイヤ伝説;ドラゴンボールZ 超サイヤ伝説;Dragon Ball Z Chou Saiya Densetsu;Dragon Ball Z Legend of the Super Saiyan,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Dragon Ball Z Super Saiya Densetsu,ドラゴンボールZ スーパー超サイヤ伝説|ドラゴンボールZ 超サイヤ伝説|Dragon Ball Z Chou Saiya Densetsu|Dragon Ball Z Legend of the Super Saiyan,
9009,Natsuki Crisis Battle;なつきクライシスバトル,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Natsuki Crisis Battle,なつきクライシスバトル,
9010,Super Bomberman Panic Bomber W;スーパーボンバーマン ぱにっくボンバーW;スーパーボンバーマン ぱにっくボンバーワールド;Super Bomberman Panic Bomber World,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Super Bomberman Panic Bomber W,スーパーボンバーマン ぱにっくボンバーW|スーパーボンバーマン ぱにっくボンバーワールド|Super Bomberman Panic Bomber World,
9011,Romancing Sa-Ga 3;ロマンシング サ·ガ3;Romancing Sa·Ga 3;Romancing Sa Ga 3;Romancing SaGa 3,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Romancing Sa-Ga 3,ロマンシング サ·ガ3|Romancing Sa·Ga 3|Romancing Sa Ga 3|Romancing SaGa 3,
9012,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic;美少女戦士セーラームーンSuperS ふわふわパニック;美少女戦士セーラームーンSuper S ふわふわパニック;Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,美少女戦士セーラームーンSuperS ふわふわパニック|美少女戦士セーラームーンSuper S ふわふわパニック|Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,
9013,Super Mario Kart;スーパーマリオカート,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Mario Kart,スーパーマリオカート,
9014,Royal Conquest;ロイヤルコンクエスト,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Royal Conquest,ロイヤルコンクエスト,
9015,Ultraman;ウルトラマン,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Ultraman,ウルトラマン,
9016,Mystic Ark;ミスティック・アーク,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Mystic Ark,ミスティック・アーク,
