object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
26526,Tiny Toon Adventures Buster Busts Loose!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tiny Toon Adventures Buster Busts Loose!,,
26527,Teenage Mutant Hero Turtles IV Turtles in Time;Teenage Mutant Ninja Turtles IV Turtles in Time;Teenage Mutant Hero Turtles 4 Turtles in Time,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Teenage Mutant Hero Turtles IV Turtles in Time,Teenage Mutant Ninja Turtles IV Turtles in Time|Teenage Mutant Hero Turtles 4 Turtles in Time,
26528,Super Probotector Alien Rebels;Contra III The Alien Wars;Contra Spirits,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Probotector Alien Rebels,Contra III The Alien Wars|Contra Spirits,
26529,Super Castlevania IV;Super Castlevania 4;Akumajou Dracula,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Castlevania IV,Super Castlevania 4|Akumajou Dracula,
26545,Parodius,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Parodius,,
26546,Prince of Persia,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Prince of Persia,,
26547,Spirou;Robbedoes,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Spirou,Robbedoes,
26549,Super R-Type,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super R-Type,,
26550,Mega Man X;Rockman X,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mega Man X,Rockman X,
26551,Mighty Morphin Power Rangers The Fighting Edition,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mighty Morphin Power Rangers The Fighting Edition,,
26552,Newman/Haas IndyCar featuring Nigel Mansell;Newman Haas IndyCar featuring Nigel Mansell;NewmanHaas IndyCar featuring Nigel Mansell,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Newman/Haas IndyCar featuring Nigel Mansell,Newman Haas IndyCar featuring Nigel Mansell|NewmanHaas IndyCar featuring Nigel Mansell,
26553,Rise of the Robots,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Rise of the Robots,,
26554,The Adventures of Mighty Max,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Adventures of Mighty Max,,
26555,Ghoul Patrol,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ghoul Patrol,,
26556,Paws of Fury;Brutal Paws of Fury,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Paws of Fury,Brutal Paws of Fury,
26557,Major Title;The Irem Skins Game,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Major Title,The Irem Skins Game,
26558,NHL 95,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 95,,
26559,Garry Kitchen's Super Battletank;Garry Kitchen's Super Battletank War in the Gulf,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Garry Kitchen's Super Battletank,Garry Kitchen's Super Battletank War in the Gulf,
26560,Disney's Timon & Pumbaa's Jungle Games;Disney's Timon and Pumbaa's Jungle Games,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Timon & Pumbaa's Jungle Games,Disney's Timon and Pumbaa's Jungle Games,
26561,Tetris Attack;Panel de Pon,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tetris Attack,Panel de Pon,
26562,The Adventures of Tintin Prisoners of the Sun;Las Aventuras de Tintin El Templo del Sol;Les Aventures de Tintin Le Temple du Soleil;Kuifje De Zonnetempel;Tim und Struppi Der Sonnentempel,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Adventures of Tintin Prisoners of the Sun,Las Aventuras de Tintin El Templo del Sol|Les Aventures de Tintin Le Temple du Soleil|Kuifje De Zonnetempel|Tim und Struppi Der Sonnentempel,
26563,Street Fighter II;Street Fighter II The World Warrior;Street Fighter 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter II,Street Fighter II The World Warrior|Street Fighter 2,
26565,Super Bomberman 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Bomberman 2,,
26566,Turn and Burn No-Fly Zone,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Turn and Burn No-Fly Zone,,
26567,Jungle Strike The Sequel to Desert Strike,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Jungle Strike The Sequel to Desert Strike,,
26568,GP-1;GP 1,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,GP-1,GP 1,
26569,ClayFighter;Clay Fighter,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,ClayFighter,Clay Fighter,
26570,Mario is Missing!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mario is Missing!,,
26571,Super Ghouls 'n Ghosts;Chou Makaimura,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Ghouls 'n Ghosts,Chou Makaimura,soundtrack
26573,Wing Commander,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Wing Commander,,
26574,World Cup USA 94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Cup USA 94,,
26581,Jurassic Park Part 2: The Chaos Continues,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Jurassic Park Part 2: The Chaos Continues,,
26582,Cannon Fodder,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cannon Fodder,,
26583,Mortal Kombat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat,,
26584,Shanghai II Dragon's Eye;Shanghai 2 Dragon's Eye;Super Shanghai Dragon's Eye,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Shanghai II Dragon's Eye,Shanghai 2 Dragon's Eye|Super Shanghai Dragon's Eye,
26585,Super Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Soccer,,
26586,Battletoads in Battlemaniacs,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Battletoads in Battlemaniacs,,
26587,Young Merlin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Young Merlin,,
26588,X-Kaliber 2097,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,X-Kaliber 2097,,
26589,Super Off Road,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Off Road,,
26590,Power Piggs of the Dark Age,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Power Piggs of the Dark Age,,
26592,Urban Strike The Sequel to Jungle Strike,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Urban Strike The Sequel to Jungle Strike,,
26593,Disney's Jungle Boek;Disney's The Jungle Book;The Jungle Book,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Jungle Boek,Disney's The Jungle Book|The Jungle Book,
26594,Disney's The Jungle Book;Jungle Boek;The Jungle Book,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's The Jungle Book,Jungle Boek|The Jungle Book,
26603,Disney's The Lion King,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's The Lion King,,
26604,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat 3,,
26606,International Tennis Tour,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Tennis Tour,,
26607,Midway Presents Arcade's Greatest Hits The Atari Collection 1,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Midway Presents Arcade's Greatest Hits The Atari Collection 1,,
26608,Super Metroid,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Metroid,,
26609,F-Zero,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,F-Zero,,
26610,World Cup Striker,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Cup Striker,,
26611,James Bond Jr;James Bond Jr.;James Bond Junior,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,James Bond Jr,James Bond Jr.|James Bond Junior,
26613,Der Rasenmäher-Mann;The Lawnmower Man,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Der Rasenmäher-Mann,The Lawnmower Man,
26614,Daffy Duck The Marvin Missions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Daffy Duck The Marvin Missions,,
26617,Star Trek Deep Space Nine Crossroads of Time,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Star Trek Deep Space Nine Crossroads of Time,,
26618,NBA Jam,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Jam,,
26622,Another World,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Another World,,
26623,Secret of Evermore,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Evermore,,
26624,Troddlers,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Troddlers,,
26625,Super Punch-Out!!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Punch-Out!!,,
26626,Super Mario World 2 Yoshi's Island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario World 2 Yoshi's Island,,
26628,Super Mario All-Stars;Super Mario Collection,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario All-Stars,Super Mario Collection,
26629,Donkey Kong Country;Super Donkey Kong,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country,Super Donkey Kong,
26631,De Smurfen;Les Schtroumpfs,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,De Smurfen,Les Schtroumpfs,
26632,Desert Fighter;A.S.P. Air Strike Patrol;Desert Fighter Suna no Arashi Sakusen,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Desert Fighter,A.S.P. Air Strike Patrol|Desert Fighter Suna no Arashi Sakusen,
26633,Primal Rage,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Primal Rage,,
26635,Home Alone Kevin Allein zu Haus,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Home Alone Kevin Allein zu Haus,,
26638,Kick Off;Super Kick Off,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kick Off,Super Kick Off,
26639,Tetris 2;Tetris Flash,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tetris 2,Tetris Flash,
26641,Ultraman;Ultraman Towards the Future,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ultraman,Ultraman Towards the Future,
26642,Judge Dredd,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Judge Dredd,,
26644,Pitfall The Mayan Adventure;Pitfall Maya no Daibouken,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pitfall The Mayan Adventure,Pitfall Maya no Daibouken,
26646,Starwing;Star Fox,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Starwing,Star Fox,
26648,Taz-Mania,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Taz-Mania,,
26651,Shaq Fu;Shaq-Fu,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Shaq Fu,Shaq-Fu,
26653,Super Putty;Putty Moon,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Putty,Putty Moon,
26655,Striker;Eric Cantona Football Challenge;World Soccer '94 Road to Glory;World Soccer,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Striker,Eric Cantona Football Challenge|World Soccer '94 Road to Glory|World Soccer,
26657,Donkey Kong Country 3 Dixie Kong's Double Trouble!;Super Donkey Kong 3 Nazo no Krems Shima,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 3 Dixie Kong's Double Trouble!,Super Donkey Kong 3 Nazo no Krems Shima,
26659,Donkey Kong Country 2 Diddy's Kong Quest;Super Donkey Kong 2 Dixie & Diddy,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 2 Diddy's Kong Quest,Super Donkey Kong 2 Dixie & Diddy,
26660,Equinox;Solstice II,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Equinox,Solstice II,
26663,The Chessmaster,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Chessmaster,,
26665,B.O.B.;BOB;Space Funky B.O.B.,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,B.O.B.,BOB|Space Funky B.O.B.,
26667,Bubsy In: Claws Encounters of the Furred Kind;Bubsy in Claws Encounters of the Furred Kind,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Bubsy In: Claws Encounters of the Furred Kind,Bubsy in Claws Encounters of the Furred Kind,
26670,Revolution X,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Revolution X,,
26673,Lemmings,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lemmings,,
26676,Super Dany,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Dany,,
26677,Krusty's Super Fun House;Krusty World,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Krusty's Super Fun House,Krusty World,
26679,Indiana Jones' Greatest Adventures,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Indiana Jones' Greatest Adventures,,
26680,Super Troll Islands,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Troll Islands,,
26681,The Pagemaster,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Pagemaster,,
26683,Lemmings 2 The Tribes,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lemmings 2 The Tribes,,
26688,The Pagemaster,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Pagemaster,,
26689,Best of the Best Championship Karate;Super Kick Boxing,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Best of the Best Championship Karate,Super Kick Boxing,
26692,RoboCop 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,RoboCop 3,,
26693,World Heroes,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Heroes,,
26695,Chuck Rock,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Chuck Rock,,
26696,Bram Stoker's Dracula,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Bram Stoker's Dracula,,
26698,Hook,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Hook,,
26700,F-Zero,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,F-Zero,,
26702,Super Smash T.V.;Super Smash TV,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Smash T.V.,Super Smash TV,
26705,Joe & Mac;Joe & Mac Caveman Ninja;Joe and Mac,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Joe & Mac,Joe & Mac Caveman Ninja|Joe and Mac,
26706,Chrono Trigger,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Chrono Trigger,,
26707,Darius Twin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Darius Twin,,
26737,Fatal Fury,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Fatal Fury,,
26738,Cyber Spin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cyber Spin,,
26739,Cool World,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cool World,,
26740,The Lion King,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Lion King,,
26741,The Rocketeer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Rocketeer,,
26742,Alien 3;Alien³,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Alien 3,Alien³,
26743,Mega Man & Bass;Mega Man and Bass,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mega Man & Bass,Mega Man and Bass,
26744,Retro City Rampage DX,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Retro City Rampage DX,,
26954,NBA Live 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Live 96,,
26955,Foreman for Real,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Foreman for Real,,
26957,Super Tennis;Super Tennis World Circuit,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Tennis,Super Tennis World Circuit,
26958,Super Castlevania IV;Super Castlevania 4,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Castlevania IV,Super Castlevania 4,
26959,Cliffhanger,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cliffhanger,,
26960,Astérix & Obélix;Astérix and Obélix,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Astérix & Obélix,Astérix and Obélix,
26961,Super Mario All-Stars,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario All-Stars,,
26962,Secret of Mana,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Mana,,
26963,Super SWIV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super SWIV,,
26964,Krusty's Super Fun House;Krusty World,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Krusty's Super Fun House,Krusty World,
26965,Sullivan Bluth Presents Dragon's Lair,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Sullivan Bluth Presents Dragon's Lair,,
26966,Vortex,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Vortex,,
26967,Star Trek Starfleet Academy Starship Bridge Simulator,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Star Trek Starfleet Academy Starship Bridge Simulator,,
26968,The Legend of Zelda A Link to the Past,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Legend of Zelda A Link to the Past,,
26969,Blazing Skies;Wings 2 Aces High,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Blazing Skies,Wings 2 Aces High,
26970,U.N. Squadron;UN Squadron,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,U.N. Squadron,UN Squadron,
26971,The Simpsons Bart's Nightmare,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Simpsons Bart's Nightmare,,
26972,Mario Paint,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mario Paint,,
26973,Street Fighter II;Street Fighter II The World Warrior;Street Fighter 2 The World Warrior,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter II,Street Fighter II The World Warrior|Street Fighter 2 The World Warrior,
26975,Desert Strike Return to the Gulf,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Desert Strike Return to the Gulf,,
26976,Yogi Bear's Cartoon Capers;Adventures of Yogi Bear,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Yogi Bear's Cartoon Capers,Adventures of Yogi Bear,
26977,Mortal Kombat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat,,
26978,Daffy Duck The Marvin Missions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Daffy Duck The Marvin Missions,,
26979,The Flintstones The Treasure of Sierra Madrock,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Flintstones The Treasure of Sierra Madrock,,
26980,True Lies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,True Lies,,
26981,Killer Instinct,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Killer Instinct,,
26982,Cutthroat Island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cutthroat Island,,
26983,Lagoon,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lagoon,,
