object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
19907,Nigel Mansell's World Championship,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Nigel Mansell's World Championship,,
19908,Daffy Duck The Marvin Missions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Daffy Duck The Marvin Missions,,
19910,NBA Jam T.E.;NBA Jam: Tournament Edition,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Jam T.E.,NBA Jam: Tournament Edition,
19911,Dino Dini's Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Dino Dini's Soccer,,
19912,Puzzle Bobble Bust-A-Move,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Puzzle Bobble Bust-A-Move,,
19913,Brett Hull Hockey,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Brett Hull Hockey,,
19914,Kirby's Fun Pak;Kirby Super Star,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kirby's Fun Pak,Kirby Super Star,
19915,Super Off Road,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Off Road,,
19916,Best of the Best Championship Karate,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Best of the Best Championship Karate,,
19917,Donkey Kong Country 2 Diddy's Kong Quest,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 2 Diddy's Kong Quest,,
19919,Donkey Kong Country 3 Dixie Kong's Double Trouble!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 3 Dixie Kong's Double Trouble!,,
19920,Legend,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Legend,,
19921,Spider-Man X-Men Arcade's Revenges;Spider-Man and the X-Men in Arcade's Revenge,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Spider-Man X-Men Arcade's Revenges,Spider-Man and the X-Men in Arcade's Revenge,
19922,Disney's Beauty and the Beast,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Beauty and the Beast,,
19923,Super R-Type,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super R-Type,,
19924,Super Bomberman,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Bomberman,,
19925,Disney's Aladdin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Aladdin,,
19927,Disney Donald in Maui Mallard,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney Donald in Maui Mallard,,
19928,F1 Pole Position 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,F1 Pole Position 2,,
19929,Lagoon,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lagoon,,
19930,Secret of Evermore,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Evermore,,
19932,Super Ghouls 'n Ghosts,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Ghouls 'n Ghosts,,soundtrack
19933,Flashback,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Flashback,,
20309,NBA Live 97,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Live 97,,
20310,FIFA 97,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,FIFA 97,,
20312,FIFA Soccer 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,FIFA Soccer 96,,
20313,FIFA Road to World Cup 98,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,FIFA Road to World Cup 98,,
20314,NBA Live 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Live 96,,
20316,NBA Jam,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Jam,,
20317,NHLPA Hockey '93,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHLPA Hockey '93,,
20319,NHL Hockey '94;NHL '94,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL Hockey '94,NHL '94,
20321,NHL 95,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 95,,
20322,NHL 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 96,,
20323,NHL 97,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 97,,
20324,Goof Troop,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Goof Troop,,
20325,Young Merlin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Young Merlin,,
20326,Hook,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Hook,,
20327,Skyblazer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Skyblazer,,
20328,Seaquest DSV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Seaquest DSV,,
20329,Rise of the Robots,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Rise of the Robots,,
20330,World League Basketball;NCAA Basketball,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World League Basketball,NCAA Basketball,
20331,Realm,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Realm,,
20332,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Val d'Isere Championship,,
20334,The Adventures of Mighty Max,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Adventures of Mighty Max,,
20337,Barkley Shut Up and Jam!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Barkley Shut Up and Jam!,,
20339,Clay Fighter 2 Judgment Clay,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Clay Fighter 2 Judgment Clay,,
20340,Ultimate Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ultimate Mortal Kombat 3,,
20342,Battletoads in Battlemaniacs,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Battletoads in Battlemaniacs,,
20347,Power Rangers,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Power Rangers,,
20349,Bugs Bunny Rabbit Rampage,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Bugs Bunny Rabbit Rampage,,
20350,Super SWIV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super SWIV,,
20351,Final Fight,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Final Fight,,
20352,Tetris Attack,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tetris Attack,,
20353,Judge Dredd,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Judge Dredd,,
20355,Exhaust Heat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Exhaust Heat,,
20357,Tiny Toon Adventures Buster Busts Loose!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tiny Toon Adventures Buster Busts Loose!,,
20358,Axelay,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Axelay,,
20360,Astérix,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Astérix,,
20362,Indiana Jones' Greatest Adventures,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Indiana Jones' Greatest Adventures,,
20364,Super Putty,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Putty,,
20365,Darius Twin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Darius Twin,,
