release_id,edition_id,title_primary,platform,country,language,release_date
RL-E495D127BF,ED-7096352DA5,Robocop Versus The Terminator,SNES,UNK,xx,
RL-C84AE3BC72,ED-096CEEE0CB,Rocket Ranger,AMIGA,UNK,xx,
RL-F16F3AD3A4,ED-95250F9178,SNES Game Converter,SNES,UNK,xx,
RL-C66FECEF3C,ED-5CF24193F1,Samurai Spirits,NEO-AES,UNK,xx,
RL-A4F43A2290,ED-CAB53233CA,SeaQuest DSV,SNES,UNK,xx,
RL-F9360702B0,ED-706CBA13B5,Seaquest DSV,SNES,UNK,xx,
RL-E84D4CE30E,ED-19C47EF765,Secret of Evermore,SNES,UNK,xx,
RL-4030F76815,ED-C05C1E1FD0,Secret of Mana,SNES,UNK,xx,
RL-54178FF0D6,ED-3CD8962F00,Shadow Warriors,AMIGA,UNK,xx,
RL-CE8B088C58,ED-81427DD5E1,Shadow of the Ninja,SNES,UNK,xx,
RL-3503364387,ED-74C332EE98,Shadowrun,SNES,UNK,xx,
RL-A6D686D7A8,ED-AF246B79DB,Shanghai II Dragon's Eye,SNES,UNK,xx,
RL-57641B0027,ED-7D2F7EC365,Shaq Fu,SNES,UNK,xx,
RL-1C3226F96E,ED-8CF1A99DFF,Shockman Zero Kaizou Choujin Schbibinman Zero,SNES,UNK,xx,
RL-4AF4120527,ED-252CF0E0E3,Sim City,AMIGA,UNK,xx,
RL-B00BAE82F9,ED-1B698225F5,Sim City 2000,SNES,UNK,xx,
RL-7BC2E96A56,ED-744A0C480B,SimCity,SNES,UNK,xx,
RL-C3C899C17E,ED-05D09D75D1,SimCity 2000 The Ultimate City Simulator,SNES,UNK,xx,
RL-AE08675645,ED-73083C6525,Sinbad and the Throne of the Falcon,AMIGA,UNK,xx,
RL-3C3F2169FC,ED-961673D4DF,Skyblazer,SNES,UNK,xx,
RL-E79E50071A,ED-74C73D0A41,Slaygon,AMIGA,UNK,xx,
RL-B508EAB8C2,ED-535A015273,Slik Sticks Quest Control Pad for Super Nintendo,SNES,UNK,xx,
RL-850758995E,ED-1BF3CC1CFA,Smash Tennis,SNES,UNK,xx,
RL-733B6A07D4,ED-A7B182C195,Soul Blazer,SNES,UNK,xx,
RL-C78BDDE99C,ED-C6C2C58C22,Spider-Man Venom Maximum Carnage,SNES,UNK,xx,
RL-5F68605E96,ED-502F2B4FE9,Spider-Man X-Men Arcade's Revenges,SNES,UNK,en,
RL-46E37B667E,ED-CC7C56D96C,Spidertronic,AMIGA,UNK,xx,
RL-3CE5BA1496,ED-C361DFFFF3,Spirou,SNES,UNK,xx,
RL-990F8C459F,ED-8660C023A3,"Sports Sciences Tee V Golf, Controller",SNES,UNK,xx,
RL-962882B829,ED-22D61C7EEC,Star Trek Deep Space Nine Crossroads of Time,SNES,UNK,xx,
RL-11DD64DDC0,ED-C257D0C060,Star Trek Starfleet Academy,SNES,UNK,xx,
RL-80E1A6E1E1,ED-870AADD45D,Star Trek Starfleet Academy Starship Bridge Simulator,SNES,UNK,xx,
RL-E4B73E5B9E,ED-C8002308BC,Stargate,SNES,UNK,xx,
RL-90029376F5,ED-08A2035D6A,Starwing,SNES,UNK,xx,
RL-44D6169295,ED-29E868AE67,Street Fighter 2,SNES,UNK,xx,
RL-B6F0F56EC1,ED-9C30E2631F,Street Fighter Alpha 2,SNES,UNK,xx,
RL-BC1CFD9F4F,ED-F91F422104,Street Fighter II,SNES,UNK,xx,
RL-8CEFE7606D,ED-5C87BD6B66,Street Fighter II Turbo,SNES,UNK,xx,
RL-0C692610E4,ED-85F76F3BB0,Street Racer,SNES,UNK,xx,
RL-7371C6E2BB,ED-A9E9265836,Striker,SNES,UNK,xx,
RL-1E77DB17B4,ED-E68A966339,Stunt Race FX,SNES,UNK,xx,
RL-4DC9DE9375,ED-2CDBEBE25A,Sullivan Bluth Presents Dragon's Lair,SNES,UNK,xx,
RL-01301C84CC,ED-137195454D,Super Adventure Island,SNES,UNK,xx,
RL-BF75950CE4,ED-464A3F2122,Super Battletank 2,SNES,UNK,xx,
RL-5E1D0E12BA,ED-07A5BC19E8,Super Bomberman,SNES,UNK,xx,
RL-53A6D5EB2D,ED-D8BB37D0AC,Super Bomberman 2,SNES,UNK,xx,
