igdb_id,company_name,developer,publisher,porting,supporting
5405,Park Place Productions,True,False,False,False
6621,Playtronic,False,True,False,False
6621,Hyundai,False,True,False,False
6621,Capcom USA,False,True,False,False
6621,Nintendo,False,True,False,False
6621,Capcom,True,True,False,False
242310,"GameTek, Inc.",False,True,False,False
242310,Digital Illusions,True,False,False,False
242310,Playtronic,False,True,False,False
37832,Naxat Soft,True,True,False,False
198998,Tiger Electronics,True,True,False,False
198998,Gig,False,True,False,False
1498,Square,False,True,False,False
1498,G-Craft,True,False,False,False
1498,Square Product Development Division 5,True,False,False,False
42617,Seika Corporation,False,True,False,False
42617,ZOOM,True,True,False,False
42617,Kemco,True,True,False,False
38130,SAS Sakata,True,False,False,False
38130,Epoch,False,True,False,False
198669,Tiger Electronics,True,True,False,False
346267,Psygnosis,False,True,False,False
346267,Spidersoft,True,False,False,False
280811,Probe Software,True,False,False,False
280811,Hudson Soft,False,True,False,False
284101,Super Game,True,False,False,False
284101,Realtec,False,True,False,False
1726,Capcom,True,True,False,False
1534,Natsume Inc.,False,True,False,False
1534,"Natsume Co., Ltd.",True,False,False,False
262153,Bits Studios,True,False,False,False
262153,Sony Imagesoft,False,True,False,False
20298,Midway Games,True,True,False,False
20298,Playtronic,False,True,False,False
4449,"GameTek, Inc.",False,True,False,False
4449,Eurocom Entertainment Software,True,False,False,False
4449,"GameTek, Inc.",True,True,False,False
47498,Koei,True,True,False,False
42613,CTA,True,False,False,False
42613,Ocean,False,True,False,False
243453,Nintendo,False,True,False,False
243453,Capcom,True,False,False,False
243453,Playtronic,False,True,False,False
204616,Virgin Interactive Entertainment,True,True,False,False
204616,Gradiente,False,True,False,False
204616,Playtronic,False,True,False,False
44437,Sting Entertainment,True,False,False,False
44437,ASCII Corporation,False,True,False,False
99509,Data East,True,False,False,False
99509,G-MODE Corporation,False,True,False,False
99509,HAMSTER,False,True,True,False
21023,Rising Star Games,False,True,False,False
1720,Capcom,True,True,False,False
5404,Traveller's Tales,True,False,False,False
5404,Sony Imagesoft,False,True,False,False
5404,"Creative Capers Entertainment, Inc.",False,False,False,True
5404,Capcom,False,True,False,False
5404,Playtronic,False,True,False,False
