edition_id,title_primary,platform,igdb_id,igdb_name,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,confidence,source
CAT-01816,Art of Fighting,Nintendo Super Nintendo Entertainment System,4514,Art of Fighting,Fighting; Arcade,SNK,"D4 Enterprise, Inc; HAMSTER; Hudson Soft; K Amusement Leasing; SNK; SNK Home Entertainment, Inc.; SNK Playmore USA; SNK of America; Sega; Takara; Takara U.S.A.",1992-09-24,,Neo Geo AES; Arcade; PlayStation 3; Neo Geo MVS; PlayStation 4; Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis; PC (Microsoft Windows); PlayStation Vita; PlayStation Portable; Neo Geo CD; Turbografx-16/PC Engine CD; Xbox One; Nintendo Switch; Super Famicom,"Dec 11, 1992 <Neo Geo AES> | Dec 11, 1992 <Neo Geo MVS> | Sep 24, 1992 <Arcade> | Sep 24, 1992 <Neo Geo AES> | Sep 24, 1992 <Neo Geo MVS> | 1993 <Super Nintendo Entertainment System> | Dec 01, 1993 <Super Nintendo Entertainment System> | Oct 29, 1993 <Super Famicom> | Jan 14, 1994 <Sega Mega Drive/Genesis> | Mar 26, 1994 <Turbografx-16/PC Engine CD> | Sep 09, 1994 <Neo Geo CD> | Nov 02, 2007 <Wii> | Oct 08, 2007 <Wii> | Oct 09, 2007 <Wii> | Dec 21, 2010 <PlayStation 3> | Dec 21, 2010 <PlayStation Portable> | Dec 21, 2010 <PlayStation Vita> | Apr 20, 2017 <PlayStation 4> | Dec 14, 2017 <PC (Microsoft Windows)> | Mar 23, 2017 <Xbox One> | Sep 21, 2017 <Nintendo Switch>",https://images.igdb.com/igdb/image/upload/t_cover_big/co22y4.jpg,1/2,igdb
CAT-01821,Cutthroat Island,Nintendo Super Nintendo Entertainment System,262151,Cutthroat Island,Platform; Adventure,Software Creations,Acclaim Entertainment,1995-12-31,,Sega Game Gear,1995 <Sega Game Gear>,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ykl.jpg,1/2,igdb
CAT-01822,Vortex,Nintendo Super Nintendo Entertainment System,286183,Vortex,Shooter; Arcade,,Datamost,1982-12-31,,Apple II,1982 <Apple II>,https://images.igdb.com/igdb/image/upload/t_cover_big/co7quo.jpg,1/2,igdb
CAT-01825,Killer Instinct,Nintendo Super Nintendo Entertainment System,10354,Killer Instinct,Fighting,Double Helix Games; Iron Galaxy Studios,Microsoft Studios,2013-11-22,,PC (Microsoft Windows); Xbox One,"Nov 22, 2013 <Xbox One> | Sep 04, 2014 <Xbox One> | Mar 29, 2016 <PC (Microsoft Windows)> | Mar 29, 2016 <Xbox One>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1nn0.jpg,1/2,igdb
CAT-01828,Wario's Woods,Nintendo Super Nintendo Entertainment System,1711,Wario's Woods,Puzzle; Strategy,Nintendo,Nintendo,1994-02-19,,Nintendo 3DS; Wii; Family Computer; Wii U; Nintendo Entertainment System,"Dec 10, 1994 <Nintendo Entertainment System> | Feb 19, 1994 <Family Computer> | 1995 <Nintendo Entertainment System> | Dec 07, 2006 <Wii> | Dec 08, 2006 <Wii> | Dec 12, 2006 <Wii> | Nov 19, 2006 <Wii> | May 29, 2013 <Nintendo 3DS> | Nov 07, 2013 <Nintendo 3DS> | Nov 07, 2013 <Wii U> | Oct 24, 2013 <Nintendo 3DS> | Feb 27, 2014 <Wii U> | Jan 29, 2014 <Wii U> | Jul 20, 2016 <Nintendo 3DS>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqb.jpg,1/2,igdb
CAT-01829,Kevin Keegan's Player Manager,Nintendo Super Nintendo Entertainment System,42618,Kevin Keegan's Player Manager,Simulator; Sport,,,1993-02-01,,Super Nintendo Entertainment System,"Feb 01, 1993 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/igxyivrq9txajlpeauvy.jpg,1/2,igdb
CAT-01830,SimCity,Nintendo Super Nintendo Entertainment System,1274,SimCity,Simulator; Strategy,Maxis,Electronic Arts,2013-03-05,,PC (Microsoft Windows); Mac,"Aug 2013 <Mac> | Mar 05, 2013 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1y6x.jpg,1/2,igdb
CAT-01831,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,11603,Pac-Man 2: The New Adventures,Puzzle; Adventure,Namco,Namco,1994-04-06,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Wii U; Super Famicom,"1994 <Super Nintendo Entertainment System> | Apr 06, 1994 <Sega Mega Drive/Genesis> | Apr 06, 1994 <Super Nintendo Entertainment System> | Aug 26, 1994 <Super Famicom> | Oct 08, 2015 <Wii U> | Mar 03, 2016 <Wii U>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2sss.jpg,1/0,igdb
CAT-01834,Populous,Nintendo Super Nintendo Entertainment System,353713,Populous,Real Time Strategy (RTS); Simulator; Strategy,Bullfrog Productions,Electronic Arts; Tec Toy,1991-10-01,,Sega Master System/Mark III,"1991 <Sega Master System/Mark III> | Oct 01, 1991 <Sega Master System/Mark III> | Aug 1993 <Sega Master System/Mark III>",https://images.igdb.com/igdb/image/upload/t_cover_big/coa3i2.jpg,1/2,igdb
CAT-01835,Plok,Nintendo Super Nintendo Entertainment System,28389,Plok,Platform,Software Creations,Activision; Nintendo of Europe; Tradewest Inc,1993-09-01,Korea,Super Nintendo Entertainment System; Super Famicom,"1993 <Super Nintendo Entertainment System> | Dec 10, 1993 <Super Famicom> | Sep 1993 [Korea] <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2eta.jpg,1/2,igdb
