edition_id,qid,label,description,platform_labels,title_score,platform_match,p31_ok,score_tuple
ED-36A0C92680,Q2741882,Addams Family Values,1995 video game,Super Nintendo Entertainment System; Sega Genesis,2,1,1,"(1, 2, 1)"
ED-36A0C92680,Q204725,Addams Family Values,1993 film directed by Barry Sonnenfeld,,2,0,0,"(0, 2, 0)"
ED-36A0C92680,Q135456029,Addams Family Values,novel by Todd Strasser,,2,0,0,"(0, 2, 0)"
ED-36A0C92680,Q2681538,Addams Family Values – Music from the Motion Picture,1993 compilation soundtrack album; various artists,,1,0,0,"(0, 1, 0)"
ED-36A0C92680,Q4681016,Addams Family Values: The Original Orchestral Score,album by Artie Kane,,1,0,0,"(0, 1, 0)"
ED-36A0C92680,Q2090329,Addams Family Values,Wikimedia disambiguation page,,2,0,0,"(0, 2, 0)"
ED-407F7C78B2,Q2741882,Addams Family Values,1995 video game,Super Nintendo Entertainment System; Sega Genesis,2,1,1,"(1, 2, 1)"
ED-407F7C78B2,Q204725,Addams Family Values,1993 film directed by Barry Sonnenfeld,,2,0,0,"(0, 2, 0)"
ED-407F7C78B2,Q135456029,Addams Family Values,novel by Todd Strasser,,2,0,0,"(0, 2, 0)"
ED-407F7C78B2,Q2681538,Addams Family Values – Music from the Motion Picture,1993 compilation soundtrack album; various artists,,1,0,0,"(0, 1, 0)"
ED-407F7C78B2,Q4681016,Addams Family Values: The Original Orchestral Score,album by Artie Kane,,1,0,0,"(0, 1, 0)"
ED-407F7C78B2,Q2090329,Addams Family Values,Wikimedia disambiguation page,,2,0,0,"(0, 2, 0)"
