edition_id,title_primary,platform,gb_game_id,igdb_game_id,wd_qid,wd_label
CAT-40683,International Superstar Soccer,Nintendo Super Nintendo Entertainment System,6106,9861,,
CAT-42951,Stunt Race FX,Nintendo Super Nintendo Entertainment System,19991,28509,,
CAT-19929,Lagoon,Nintendo Super Nintendo Entertainment System,12945,42617,,
CAT-37956,ActRaiser 2,Nintendo Super Nintendo Entertainment System,17123,7704,,
CAT-42940,Lemmings 2 The Tribes,Nintendo Super Nintendo Entertainment System,18818,243989,,
CAT-20371,Accele Brid;アクセルブリッド,Nintendo Super Famicom,2607,38353,,
CAT-20377,Super Mario World 2 Yoshi's Island,Nintendo Super Nintendo Entertainment System,2866,1073,,
CAT-09016,Mystic Ark;ミスティック・アーク,Nintendo Super Famicom,168,42484,,
CAT-36912,Gon;ゴン,Nintendo Super Famicom,23077,97118,,
CAT-09182,Wagyan Paradise;ワギャンパラダイス,Nintendo Super Famicom,50664,42425,,
CAT-40415,King Arthur's World,Nintendo Super Nintendo Entertainment System,12248,42506,,
CAT-55247,Super Mario World;スーパーマリオワールド,Nintendo Super Famicom,42931,270346,,
CAT-20352,Tetris Attack,Nintendo Super Nintendo Entertainment System,13130,133313,,
CAT-01822,Vortex,Nintendo Super Nintendo Entertainment System,9146,210342,,
CAT-00091,Secret of Mana,Nintendo Super Nintendo Entertainment System,19507,55092,,
CAT-60670,Stunt Race FX,Nintendo Super Nintendo Entertainment System,19991,28509,,
CAT-01874,Doom,Nintendo Super Nintendo Entertainment System,7326,7351,,
CAT-01813,NBA All-Star Challenge,Nintendo Super Nintendo Entertainment System,13862,49011,,
CAT-35389,Super Birdie Rush;スーパーバーディラッシュ,Nintendo Super Famicom,40040,37843,,
CAT-35571,The Firemen;ザ・ファイヤーメン,Nintendo Super Famicom,1160,42621,,
CAT-34808,Suzuka 8 Hours;スズカエイトアワーズ,Nintendo Super Famicom,12299,40451,,
CAT-26982,Cutthroat Island,Nintendo Super Nintendo Entertainment System,15775,7828,,
CAT-20390,Mega Man X,Nintendo Super Nintendo Entertainment System,9463,1741,,
CAT-09202,Tetris Battle Gaiden;テトリスバトル 武闘外伝,Nintendo Super Famicom,30673,38371,,
CAT-22645,Nekketsu Tairiku Burning Heroes;熱血大陸 バーニング ヒーローズ,Nintendo Super Famicom,11461,15935,,
CAT-09323,Spindizzy Worlds;スピンディジーワールド,Nintendo Super Famicom,4385,15374,,
CAT-61154,Super Ghouls 'n Ghosts,Nintendo Super Nintendo Entertainment System,7450,6621,,
CAT-23734,Snoopy Concert;スヌーピーコンサート,Nintendo Super Famicom,34569,42383,,
CAT-37955,Demon's Crest,Nintendo Super Nintendo Entertainment System,791,18067,,
CAT-09330,Slayers;スレイヤーズ,Nintendo Super Famicom,8998,42462,,
CAT-55753,Mystic Ark;ミスティック・アーク,Nintendo Super Famicom,168,42484,,
CAT-19861,Lemmings 2 The Tribes,Nintendo Super Nintendo Entertainment System,18818,243989,,
CAT-24013,Slayers;スレイヤーズ,Nintendo Super Famicom,8998,42462,,
CAT-09015,Ultraman;ウルトラマン,Nintendo Super Famicom,40740,131387,,
CAT-19870,Jimmy Connors Pro Tennis Tour,Nintendo Super Nintendo Entertainment System,5740,153771,,
CAT-26992,NHL 95,Nintendo Super Nintendo Entertainment System,15126,4509,,
CAT-60675,Kick Off 3 European Challenge,Nintendo Super Nintendo Entertainment System,19591,45708,,
CAT-41644,Indiana Jones Greatest Adventures,Nintendo Super Nintendo Entertainment System,6329,10843,,
CAT-55922,Angelique;アンジェリーク,Nintendo Super Famicom,23452,49447,,
CAT-40568,NHLPA Hockey '93,Nintendo Super Nintendo Entertainment System,5450,42479,,
CAT-19819,Jurassic Park,Nintendo Super Nintendo Entertainment System,5721,217956,,
CAT-37960,Donkey Kong Country 2 Diddy's Kong Quest,Nintendo Super Nintendo Entertainment System,16889,1092,,
CAT-60647,Archer Maclean's Super Dropzone,Nintendo Super Nintendo Entertainment System,54900,42637,,
CAT-01849,Pushover,Nintendo Super Nintendo Entertainment System,16767,327781,,
CAT-26554,The Adventures of Mighty Max,Nintendo Super Nintendo Entertainment System,3680,8121,,
CAT-19890,Eek! the Cat,Nintendo Super Nintendo Entertainment System,19221,42613,,
CAT-36963,Super Metroid;スーパーメトロイド,Nintendo Super Famicom,8292,1103,,
CAT-01871,Paperboy 2,Nintendo Super Nintendo Entertainment System,17563,198845,,
