object_number,title,title.type,object_name,object_name.type,object_category
37942,Mega Man 7,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37946,Secret of Mana,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37948,Cybernator,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37951,Breath of Fire II;Breath of Fire 2,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37953,Breath of Fire,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37955,Demon's Crest,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37956,ActRaiser 2,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37957,Super R-Type,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37958,Cyber Spin,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37959,Donkey Kong Country,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37960,Donkey Kong Country 2 Diddy's Kong Quest,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37962,Donkey Kong Country 3 Donkey Kong's Double Trouble!,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37963,Inindo Way of the Ninja,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37964,Illusion of Gaia,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37965,Lufia & the Fortress of Doom,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37967,Super Mario RPG Legend of the Seven Stars,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37968,Super Mario All-Stars,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37970,The Legend of Zelda A Link to the Past,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37972,Operation Europe Path to Victory 1939-45,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37973,D-Force,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37974,Street Fighter II;Street Fighter 2,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37976,R-Type III;R-Type 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37978,Super Probotector Alien Rebels,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37981,Teenage Mutant Hero Turtles IV Turtles in Time;Teenage Mutant Hero Turtles 4 Turtles in Time,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
37988,Lufia II Rise of the Sinistrals;Lufia 2 Rise of the Sinistrals,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
39356,Nintendo Campus Challenge 1992,Promotional Description,Nintendo Super Nintendo Entertainment System,Cartridge,Promotional;Prototype
40343,Cool Spot,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40354,Best of the Best Championship Karate,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40361,Blazing Skies,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40364,Daffy Duck The Marvin Missions,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40407,Tiny Toon Adventures Buster Busts Loose!,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40415,King Arthur's World,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40466,Micro Machine,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40471,NBA Live 96,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40534,NewmanHaas IndyCar featuring Nigel Mansell,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40554,Winter Olympics Lillehammer 94,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40568,NHLPA Hockey '93,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40586,World Cup Striker,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40592,Aaahh!!! Real Monsters,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40593,World Cup Striker,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40664,NHLPA Hockey '93,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40683,International Superstar Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40693,Power Rangers,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
40723,Donald in Maui Mallard,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41497,Super Star Wars,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41498,Super Star Wars,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41548,Super Star Wars The Empire Strikes Back,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41576,Zombies;Zombies Ate my Neighbors,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41578,Ghoul Patrol,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41579,Ghoul Patrol,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41642,Super Star Wars Return of the Jedi,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41644,Indiana Jones Greatest Adventures,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41649,Big Sky Trooper,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
41888,Asciiware Fighter Stick SN,Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
42278,NHL 96,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42279,PGA Tour 96,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42287,Carrier Aces,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42289,Street Racer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42295,FIFA Soccer 96;FIFA 96 Virtual Soccer Stadium,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
