edition_id,gb_game_id,person_name,roles,source
CAT-42845,32829,Garry Kitchen,,giantbomb
CAT-20327,6763,David Jaffe,,giantbomb
CAT-20327,6763,Kazunori Yamauchi,,giantbomb
CAT-20327,6763,Mike Giam,,giantbomb
CAT-20327,6763,Brian J. Wiklem,,giantbomb
CAT-20327,6763,Peter Dille,,giantbomb
CAT-20327,6763,Yasuaki Fujita,,giantbomb
CAT-20327,6763,Richard Robinson,,giantbomb
CAT-20327,6763,Akira Sato,,giantbomb
CAT-20327,6763,Yuji Takahashi,,giantbomb
CAT-20327,6763,Jeff Benjamin,,giantbomb
CAT-20327,6763,Yukio Nagasaki,,giantbomb
CAT-20327,6763,Ryoji Akagawa,,giantbomb
CAT-20327,6763,Kenshi Naruse,,giantbomb
CAT-20327,6763,Harumi Fujita,,giantbomb
CAT-19814,19134,Naoshi Mizuta,,giantbomb
CAT-19814,19134,Noritaka Funamizu,,giantbomb
CAT-19814,19134,Chimorin Shogun,,giantbomb
CAT-19814,19134,Hero Hero,,giantbomb
CAT-19814,19134,Syun Nishigaki,,giantbomb
CAT-19814,19134,Motohide Eshiro,,giantbomb
CAT-19814,19134,Akira Yasuda,,giantbomb
CAT-19814,19134,Toshio Kajino,,giantbomb
CAT-19814,19134,Setsuo Yamamoto,,giantbomb
CAT-19814,19134,Tomomichi Nishimura,,giantbomb
CAT-19814,19134,Miki Shin'ichiro,,giantbomb
CAT-19814,19134,Katashi Ishizuka,,giantbomb
CAT-19814,19134,Yuko Miyamura,,giantbomb
CAT-19814,19134,Tetsuya Iwanaga,,giantbomb
CAT-19814,19134,Wataru Takagi,,giantbomb
CAT-19814,19134,Arikichi Kiyoko,,giantbomb
CAT-19814,19134,Cham Cho Choy,,giantbomb
CAT-19814,19134,Kayoko Shibata,,giantbomb
CAT-19814,19134,Ball Boy,,giantbomb
CAT-19814,19134,Darryl Williams,,giantbomb
CAT-19814,19134,Makoto Ishii,,giantbomb
CAT-19814,19134,Koji Oda,,giantbomb
CAT-42386,32829,Garry Kitchen,,giantbomb
CAT-37942,7391,Keiji Inafune,,giantbomb
CAT-37942,7391,Tokuro Fujiwara,,giantbomb
CAT-37942,7391,Yuko Takehara,,giantbomb
CAT-37942,7391,Yasuto Takahashi,,giantbomb
CAT-37942,7391,Hideki Ishikawa,,giantbomb
CAT-37942,7391,Hayato Kaji,,giantbomb
CAT-37942,7391,Kazushi Itou,,giantbomb
CAT-37942,7391,Yoshihisa Tsuda,,giantbomb
CAT-37942,7391,Ippo Yamada,,giantbomb
CAT-37942,7391,Kazuhiro Tsuchiya,,giantbomb
CAT-26980,1815,Andrew Scott,,giantbomb
CAT-26980,1815,Shane Lontis,,giantbomb
CAT-26980,1815,John Tsiglev,,giantbomb
CAT-26980,1815,Justin Halliday,,giantbomb
CAT-26980,1815,Arnold Schwarzenegger,,giantbomb
CAT-26980,1815,Asif Chaudhri,,giantbomb
CAT-26980,1815,Shawn David Rosen,,giantbomb
CAT-26980,1815,Jason Beer,,giantbomb
CAT-26980,1815,Graeme Webb,,giantbomb
CAT-26980,1815,Seth W. Rosenfeld,,giantbomb
CAT-26980,1815,David Moore,,giantbomb
CAT-34429,6562,Peter Molyneux,,giantbomb
CAT-34429,6562,Mark Healey,,giantbomb
CAT-34429,6562,Chris Sawyer,,giantbomb
CAT-34429,6562,Russell Shaw,,giantbomb
CAT-34429,6562,Demis Hassabis,,giantbomb
CAT-34429,6562,Alan Wright,,giantbomb
CAT-34429,6562,Jim Blackler,,giantbomb
CAT-34429,6562,Nick Goldsworthy,,giantbomb
CAT-34429,6562,Corinne Mah,,giantbomb
CAT-34429,6562,David Costa,,giantbomb
CAT-34429,6562,Brian Reed,,giantbomb
CAT-34429,6562,Kraig Morgan,,giantbomb
CAT-34429,6562,Andy Sandham,,giantbomb
CAT-34429,6562,Chris Hill,,giantbomb
CAT-34429,6562,Toshiyuki Nagahara,,giantbomb
CAT-34429,6562,Glenn Corpes,,giantbomb
CAT-34429,6562,Jörg Rohrer,,giantbomb
CAT-34429,6562,Sean Ratcliffe,,giantbomb
CAT-34429,6562,Mike Man,,giantbomb
CAT-34429,6562,Mike Diskett,,giantbomb
CAT-21879,11992,Jun Chikuma,,giantbomb
CAT-21879,11992,Eiji Aoyama,,giantbomb
CAT-21879,11992,Shigeki Fujiwara,,giantbomb
CAT-01858,19591,John Mitchell,,giantbomb
CAT-01858,19591,Koji Hayashi,,giantbomb
CAT-01816,2760,Takashi Nishiyama,,giantbomb
CAT-01816,2760,Eikichi Kawasaki,,giantbomb
CAT-01816,2760,Masaki Usui,,giantbomb
CAT-01816,2760,Eiji Yano,,giantbomb
CAT-01816,2760,Yoshinori Shima,,giantbomb
CAT-01816,2760,Harumi Ikoma,,giantbomb
CAT-01816,2760,Kazuhiro Inage,,giantbomb
CAT-43001,1434,Antony Espindola,,giantbomb
CAT-43001,1434,Stacy Tobias,,giantbomb
CAT-43001,1434,Kent Miller,,giantbomb
CAT-43001,1434,Gary Penacho,,giantbomb
CAT-43001,1434,David Schwartz,,giantbomb
CAT-43001,1434,Josh Wexler,,giantbomb
CAT-43001,1434,Ted Estes,,giantbomb
CAT-43001,1434,Larry DeMar,,giantbomb
CAT-43001,1434,John McCaffer,,giantbomb
CAT-43001,1434,Eric Prybil,,giantbomb
CAT-43001,1434,Eugene Jarvis,,giantbomb
CAT-43001,1434,Warren Davis,,giantbomb
CAT-43001,1434,Mark Turmell,,giantbomb
CAT-43001,1434,Jason Skiles,,giantbomb
CAT-43001,1434,Jake Simpson,,giantbomb
CAT-43001,1434,Mike Lynch,,giantbomb
CAT-43001,1434,Mark Penacho,,giantbomb
CAT-43001,1434,Mike Vinikour,,giantbomb
CAT-43001,1434,Eddie Ferrier,,giantbomb
CAT-43001,1434,Vincent Pontarelli,,giantbomb
CAT-43001,1434,Ann Mazza,,giantbomb
CAT-43001,1434,Peg Burr,,giantbomb
CAT-43001,1434,Jon Hey,,giantbomb
CAT-43001,1434,Steve Ritchie,,giantbomb
CAT-43001,1434,Christa Woss,,giantbomb
CAT-43001,1434,Tammy Ruso,,giantbomb
CAT-43001,1434,Barb Rosenthal,,giantbomb
CAT-43001,1434,Roger Sharpe,,giantbomb
CAT-43001,1434,Mark Chan,,giantbomb
CAT-43001,1434,Lenore Sayers,,giantbomb
CAT-43001,1434,Rachel Davies,,giantbomb
CAT-43001,1434,Joe Dillon,,giantbomb
CAT-43001,1434,John Lowes,,giantbomb
CAT-43001,1434,Edward Keenan,,giantbomb
CAT-43001,1434,Matt Booty,,giantbomb
CAT-43001,1434,Jeff Peters,,giantbomb
CAT-43001,1434,Al Lasko,,giantbomb
CAT-43001,1434,Sheridan Oursler,,giantbomb
CAT-43001,1434,Ray Gay,,giantbomb
CAT-43001,1434,Cary Mednick,,giantbomb
CAT-43001,1434,Pat Cox,,giantbomb
CAT-43001,1434,Ray Macika,,giantbomb
CAT-43001,1434,Mark Loffredo,,giantbomb
CAT-43001,1434,Paul Dussault,,giantbomb
CAT-43001,1434,Ken Fedesna,,giantbomb
CAT-43001,1434,Neil Nicastro,,giantbomb
CAT-43001,1434,John Vogel,,giantbomb
CAT-43001,1434,Dave Michicich,,giantbomb
CAT-43001,1434,Tony Goskie,,giantbomb
CAT-43001,1434,Dan Forden,,giantbomb
CAT-43001,1434,Steve Beran,,giantbomb
