edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url
CAT-01828,2582,Wario's Woods,"A tile-matching puzzle-platformer set in the Mario universe. As Toad, venture into the titular woods and use bombs to stop an invasion of monsters led by the villain Wario.",Intelligent Systems; Nintendo R&D1,Nintendo,https://www.giantbomb.com/warios-woods/3030-2582/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/3014371-box_wwoods.png
CAT-01829,29480,Kevin Keegan's Player Manager,"A Football Manager sim on the Super Nintendo, released in 1993. Kevin Keegan is a former England striker, and in more recent years the manager of league teams Fulham, Newcastle United and Manchester City.",Anco Software Ltd.,"Imagineer Co., Ltd.",https://www.giantbomb.com/kevin-keegans-player-manager/3030-29480/,https://www.giantbomb.com/a/uploads/scale_large/0/5486/1221484-kevin_keegan_s_player_manager_coverart.png
CAT-01830,15035,SimCity,The first installment in the highly acclaimed SimCity franchise by Maxis' Will Wright. The gameplay centers around developing and managing a city in a variety of scenarios using a combination of different zones and buildings.,Intelligent Systems; Maxis Software; Nintendo EAD,"Brøderbund Software, Inc.; Electronic Arts; Maxis Software; Nintendo; Superior Software",https://www.giantbomb.com/simcity/3030-15035/,https://www.giantbomb.com/a/uploads/scale_large/0/7622/643387-simcity.jpg
CAT-01831,12294,Pac-Man 2: The New Adventures,"A side-scrolling adventure game starring the eponymous arcade hero as he sets out to fetch things for his family. Instead of controlling him directly, players help guide the autonomous hero using a slingshot.",Namco,Bandai Namco Entertainment; Namco; Nintendo,https://www.giantbomb.com/pac-man-2-the-new-adventures/3030-12294/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2969048-box_pm2.png
CAT-01834,6210,Populous,"Commonly cited as the founding title in the god game genre, Populous is a computer game from Bullfrog Productions in which the player is a deity that must help its followers become prosperous enough to overcoming rival deities and their followers.","Bullfrog Productions, Ltd.",Electronic Arts,https://www.giantbomb.com/populous/3030-6210/,https://www.giantbomb.com/a/uploads/scale_large/11/118253/2065327-populous_na_box_art.png
CAT-01835,4182,Plok,"When the hood-headed head of the island of Akrillic gets his family heirloom flag stolen, Plok embarks on a wacky adventure in this SNES platformer.",Acclaim Studios Manchester,"Activision; Nintendo; Tradewest, Inc.",https://www.giantbomb.com/plok/3030-4182/,https://www.giantbomb.com/a/uploads/scale_large/0/7465/783148-plokbox.jpg
CAT-01842,10622,The Incredible Hulk,Dr. Bruce Banner's green alter-ego rampages across various levels in search of his nemesis Leader in this 16-bit side-scrolling brawler game.,Probe Entertainment,U.S. Gold Ltd.,https://www.giantbomb.com/the-incredible-hulk/3030-10622/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2370653-genesis_theincrediblehulk.jpg
CAT-01844,1334,Super Mario World,"One of the few launch titles of the SNES (and bundled with the system in North America and Europe), the fifth main game in the Super Mario series brings the Mario brothers into the mysterious Dinosaur Land. It marks the first appearance of Mario's dinosaur companions, known as Yoshi.",Nintendo EAD; SRD Co. Ltd.,Nintendo,https://www.giantbomb.com/super-mario-world/3030-1334/,https://www.giantbomb.com/a/uploads/scale_large/1/12541/3312460-sq_snes_supermarioworld.jpg
CAT-01848,8853,Stargate,Stargate is loosely based on the movie of the same name. A military team with a civilian archeologist traverse across space with an ancient portal and come to blows with an alien posing as a god.,Probe Entertainment; Torus Games Pty. Ltd.,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/stargate/3030-8853/,https://www.giantbomb.com/a/uploads/scale_large/0/4086/226129-boxart.jpg
CAT-01849,16767,Pushover,"A puzzle platformer starring an ant, his dominoes, and a connoisseur of cheesy potato puffs.",Red Rat Software Ltd,Ocean Software Ltd.; The Hit Squad,https://www.giantbomb.com/pushover/3030-16767/,https://www.giantbomb.com/a/uploads/scale_large/0/9408/755548-6799_boxshot_pushover.jpg
CAT-01858,19591,Kick Off 3,Side-scrolling soccer game and the third in the Kick Off series. Kick Off 3 was the first game in the series to be developed by someone other than Dino Dini.,Anco Software Ltd.,Anco Software Ltd.; Vic Tokai,https://www.giantbomb.com/kick-off-3/3030-19591/,https://www.giantbomb.com/a/uploads/scale_large/0/1270/637424-474px_kickoff3.jpg
CAT-01859,20350,Micro Machines 2: Turbo Tournament,Micro Machines 2: Turbo tournament is the sequel to Micro Machines. It features a top down perspective in which you race tiny cars around familiar locations such as the breakfast table or the garden.,Codemasters; Supersonic Software Ltd.,Codemasters; Ocean Software Ltd.,https://www.giantbomb.com/micro-machines-2-turbo-tournament/3030-20350/,https://www.giantbomb.com/a/uploads/scale_large/0/9408/746012-micromachines2ttb.jpg
