edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url,source
CAT-42697,9847,Rise of the Robots,"An infamous sci-fi fighting game known for its expensive marketing campaign (failing to live up to such lofty expectations). Set in the far future 2043, players control a cyborg that must neutralize an army of robots infected with a powerful computer virus.",Data Design Interactive; Instinct Design; Mirage Technologies (Multimedia) Ltd.,"Absolute Entertainment; Acclaim Entertainment, Inc.; Philips Interactive Media, Inc.; T&E Soft, Inc.; Time Warner Interactive, Inc.",https://www.giantbomb.com/rise-of-the-robots/3030-9847/,https://www.giantbomb.com/a/uploads/scale_large/0/1270/637434-470px_riseoftherobots.jpg,giantbomb
CAT-09103,12299,Suzuka 8 Hours,"An Arcade motorcycle racing game by Namco, based on the titular endurance race. A SNES version was developed by Arc System Works.","Arc System Works Co., Ltd.; Namco",Namco,https://www.giantbomb.com/suzuka-8-hours/3030-12299/,https://www.giantbomb.com/a/uploads/scale_large/22/229960/2615412-suzuka%208%20hours.jpg,giantbomb
CAT-70954,5721,Jurassic Park,An action game to coincide with the release of the 1993 movie and the first game based on the franchise. Take control of Dr. Grant and attempt to escape Jurassic Park.,Limited Run Games; Ocean Software Ltd.,Jaleco Ltd.; Limited Run Games; Ocean Software Ltd.,https://www.giantbomb.com/jurassic-park/3030-5721/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363891-snes_jurassicpark.jpg,giantbomb
CAT-26679,6329,Indiana Jones' Greatest Adventures,A Super Nintendo game that recreates the classic Indiana Jones film trilogy. Players follow Indiana's steps from Raiders of the Lost Ark up until The Last Crusade in this platformer using Indy's famous whip as well as various guns and grenades.,"Factor 5, LLC; LucasArts Entertainment Company LLC","JVC Musical Industries, Inc.; LucasArts Entertainment Company LLC; Victor Entertainment",https://www.giantbomb.com/indiana-jones-greatest-adventures/3030-6329/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363874-snes_indianajonesgreatestadventures.jpg,giantbomb
CAT-60688,19337,Aero the Acro-Bat,"Aero the Acro-bat's gameplay consists of simple platforming elements in which Aero, a red bat, that lives in a circus, must defend it from Edgar Ektor.",Acclaim Studios Austin; Atomic Planet Entertainment Limited,"Metro3D, Inc.; Ratalaika Games S.L.; Shinyuden; Sunsoft",https://www.giantbomb.com/aero-the-acro-bat/3030-19337/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363122-snes_aerotheacrobat.jpg,giantbomb
CAT-26986,12248,King Arthur's World,King Arthur's World is a side-scrolling strategy game where the player must utilise various units and their abilities to help King Arthur safely reach the end of each level.,Argonaut Games,Jaleco Ltd.,https://www.giantbomb.com/king-arthurs-world/3030-12248/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363900-snes_kingarthursworld.jpg,giantbomb
CAT-26962,19507,Secret of Mana,"An action RPG for the Super Nintendo and the second game in the Seiken Densetsu series. Secret of Mana can be played by up to three players simultaneously, and is widely regarded as one of the system's finest games.",Squaresoft,Square Enix; Squaresoft,https://www.giantbomb.com/secret-of-mana/3030-19507/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364736-snes_secretofmana.jpg,giantbomb
CAT-09401,30673,Tetris Battle Gaiden,"A multiplayer focused ""puzzle battle"" variant on the popular Tetris, released only in Japan.","Bullet-Proof Software, Inc.","Bullet-Proof Software, Inc.",https://www.giantbomb.com/tetris-battle-gaiden/3030-30673/,https://www.giantbomb.com/a/uploads/scale_large/4/43718/1324621-580018_20343_front.jpg,giantbomb
CAT-19834,5498,World Cup USA '94,A soccer game based on the 1994 FIFA World Cup tournament hosted by the USA.,Tiertex Design Studios,Sunsoft; U.S. Gold Ltd.,https://www.giantbomb.com/world-cup-usa-94/3030-5498/,https://www.giantbomb.com/a/uploads/scale_large/4/48222/1481626-916011_88090_front.jpg,giantbomb
CAT-09223,7265,Front Mission: Gun Hazard,Front Mission: Gun Hazard is a side-scrolling shooter which takes into account mech customization elements which are classic to the Front Mission series.,"Cobra Team; Omiya Soft, Co. Ltd.",Square Enix; Squaresoft,https://www.giantbomb.com/front-mission-gun-hazard/3030-7265/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/2502890-box.png,giantbomb
